,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Int.1,Yds.4,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,50.0,1.0,1.0,2017-09-07,KAN,@,NWE,"W, 42-27",*,7,5,40,8.0,0,71.4,5.7,1,4,0,4.0,0,0,,0,0,0,,,,0,0,0,0,0,0,67,98.5,0,0.0,0,0.0
1,2.0,51.0,2.0,2.0,2017-09-17,KAN,,PHI,"W, 27-20",*,10,8,103,12.9,1,80.0,10.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,51,96.2,0,0.0,0,0.0
2,3.0,52.0,3.0,3.0,2017-09-24,KAN,@,LAC,"W, 24-10",*,1,1,1,1.0,0,100.0,1.0,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,53,100.0,0,0.0,0,0.0
3,4.0,53.0,4.0,4.0,2017-10-02,KAN,,WAS,"W, 29-20",*,8,7,111,15.9,1,87.5,13.9,1,3,0,3.0,0,0,,0,0,0,,,,0,0,0,0,0,0,71,93.4,0,0.0,0,0.0
4,5.0,54.0,5.0,5.0,2017-10-08,KAN,@,HOU,"W, 42-34",*,11,8,98,12.3,0,72.7,8.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,39,50.6,0,0.0,0,0.0
5,6.0,55.0,6.0,6.0,2017-10-15,KAN,,PIT,"L, 13-19",*,7,4,37,9.3,0,57.1,5.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,52,96.3,0,0.0,0,0.0
6,7.0,56.0,7.0,7.0,2017-10-19,KAN,@,OAK,"L, 30-31",*,5,4,33,8.3,1,80.0,6.6,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,58,93.5,0,0.0,0,0.0
7,8.0,57.0,8.0,8.0,2017-10-30,KAN,,DEN,"W, 29-19",*,10,7,133,19.0,1,70.0,13.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,58,93.5,0,0.0,0,0.0
8,9.0,58.0,9.0,9.0,2017-11-05,KAN,@,DAL,"L, 17-28",*,9,7,73,10.4,1,77.8,8.1,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,54,94.7,0,0.0,0,0.0
9,10.0,59.0,10.0,11.0,2017-11-19,KAN,@,NYG,"L, 9-12 (OT)",*,14,8,109,13.6,0,57.1,7.8,0,0,0,,0,1,0.0,0,0,1,0.0,-45.00,0.0,0,0,0,0,0,0,74,98.7,0,0.0,0,0.0
10,11.0,60.0,11.0,12.0,2017-11-26,KAN,,BUF,"L, 10-16",*,4,3,39,13.0,0,75.0,9.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,56,96.6,0,0.0,0,0.0
11,12.0,61.0,12.0,13.0,2017-12-03,KAN,@,NYJ,"L, 31-38",*,8,4,94,23.5,2,50.0,11.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,42,91.3,0,0.0,0,0.0
12,13.0,62.0,13.0,14.0,2017-12-10,KAN,,OAK,"W, 26-15",*,13,7,74,10.6,0,53.8,5.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,69,92.0,0,0.0,0,0.0
13,14.0,63.0,14.0,15.0,2017-12-16,KAN,,LAC,"W, 30-13",*,7,6,46,7.7,0,85.7,6.6,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,1,60,90.9,1,1.6,0,0.0
14,15.0,64.0,15.0,16.0,2017-12-24,KAN,,MIA,"W, 29-13",*,8,4,47,11.8,1,50.0,5.9,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,0,68,86.1,0,0.0,0,0.0
15,15.0,,16.0,17.0,2017-12-31,KAN,@,DEN,"W, 27-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,9-6,,122,83,1038,12.5,8,68.0,8.5,2,7,0,3.5,0,1,0.0,0,0,1,0.0,-45.00,0.0,0,0,0,0,0,1,872,90.7,1,0.1,0,0.0
