,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Yds.2,TD.2,Int,Sk,Yds.3,Sk.1,Comb,Solo,Ast,TFL,QBHits,Sfty,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,112.0,1.0,1.0,2021-09-12,KAN,,CLE,"W, 33-29",*,7,6,76,12.7,2,85.7,10.9,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,55,84.6,0,0.0,0,0.0
1,2.0,113.0,2.0,2.0,2021-09-19,KAN,@,BAL,"L, 35-36",*,8,7,109,15.6,1,87.5,13.6,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,86.3,0,0.0,0,0.0
2,3.0,114.0,3.0,3.0,2021-09-26,KAN,,LAC,"L, 24-30",*,11,7,104,14.9,0,63.6,9.5,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,69,87.3,0,0.0,0,0.0
3,4.0,115.0,4.0,4.0,2021-10-03,KAN,@,PHI,"W, 42-30",*,6,4,23,5.8,0,66.7,3.8,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,88.1,0,0.0,0,0.0
4,5.0,116.0,5.0,5.0,2021-10-10,KAN,,BUF,"L, 20-38",*,10,6,57,9.5,1,60.0,5.7,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,75,87.2,0,0.0,0,0.0
5,6.0,117.0,6.0,6.0,2021-10-17,KAN,@,WAS,"W, 31-13",*,11,8,99,12.4,0,72.7,9.0,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,67,81.7,0,0.0,0,0.0
6,7.0,118.0,7.0,7.0,2021-10-24,KAN,@,TEN,"L, 3-27",*,12,7,65,9.3,0,58.3,5.4,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,53,73.6,0,0.0,0,0.0
7,8.0,119.0,8.0,8.0,2021-11-01,KAN,,NYG,"W, 20-17",*,6,4,27,6.8,0,66.7,4.5,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,74,91.4,0,0.0,0,0.0
8,9.0,120.0,9.0,9.0,2021-11-07,KAN,,GNB,"W, 13-7",*,8,5,68,13.6,1,62.5,8.5,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,86.2,0,0.0,0,0.0
9,10.0,121.0,10.0,10.0,2021-11-14,KAN,@,LVR,"W, 41-14",*,10,8,119,14.9,0,80.0,11.9,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,58,76.3,0,0.0,0,0.0
10,11.0,122.0,11.0,11.0,2021-11-21,KAN,,DAL,"W, 19-9",*,8,5,74,14.8,0,62.5,9.3,1,4,1,4.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,59,86.8,0,0.0,0,0.0
11,12.0,123.0,12.0,13.0,2021-12-05,KAN,,DEN,"W, 22-9",*,8,3,27,9.0,0,37.5,3.4,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,44,77.2,0,0.0,0,0.0
12,13.0,124.0,13.0,14.0,2021-12-12,KAN,,LVR,"W, 48-9",*,4,3,27,9.0,0,75.0,6.8,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,49,74.2,0,0.0,0,0.0
13,14.0,125.0,14.0,15.0,2021-12-16,KAN,@,LAC,"W, 34-28 (OT)",*,13,10,191,19.1,2,76.9,14.7,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,56,77.8,0,0.0,0,0.0
14,14.0,,15.0,16.0,2021-12-26,KAN,,PIT,"W, 36-10",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,126.0,16.0,17.0,2022-01-02,KAN,@,CIN,"L, 31-34",*,7,5,25,5.0,1,71.4,3.6,1,-1,0,-1.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,48,78.7,0,0.0,0,0.0
16,16.0,127.0,17.0,18.0,2022-01-08,KAN,@,DEN,"W, 28-24",*,5,4,34,8.5,1,80.0,6.8,0,0,0,,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,76.9,0,0.0,0,0.0
17,,,,,,,,,11-5,,134,92,1125,12.2,9,68.7,8.4,2,3,1,1.5,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,1,1,0,0,0,0,926,82.2,0,0.0,0,0.0
