,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2023-09-07,KAN,,DET,"L, 20-21",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,145.0,2.0,2.0,2023-09-17,KAN,@,JAX,"W, 17-9",*,9,4,26,6.5,1,44.4,2.9,0,0,0,0,0,0,0,0,0,43,64.2,0,0.0,0,0.0
2,2.0,146.0,3.0,3.0,2023-09-24,KAN,,CHI,"W, 41-10",*,8,7,69,9.9,1,87.5,8.6,0,0,0,0,0,0,0,0,0,47,61.0,0,0.0,0,0.0
3,3.0,147.0,4.0,4.0,2023-10-01,KAN,@,NYJ,"W, 23-20",*,9,6,60,10.0,0,66.7,6.7,0,0,0,0,0,0,0,0,0,55,78.6,0,0.0,0,0.0
4,4.0,148.0,5.0,5.0,2023-10-08,KAN,@,MIN,"W, 27-20",*,11,10,67,6.7,1,90.9,6.1,0,0,0,0,0,0,0,0,0,39,59.1,1,1.4,0,0.0
5,5.0,149.0,6.0,6.0,2023-10-12,KAN,,DEN,"W, 19-8",*,9,9,124,13.8,0,100.0,13.8,0,0,0,0,0,0,0,0,0,49,69.0,0,0.0,0,0.0
6,6.0,150.0,7.0,7.0,2023-10-22,KAN,,LAC,"W, 31-17",*,13,12,179,14.9,1,92.3,13.8,0,0,0,0,0,0,0,0,0,51,75.0,0,0.0,0,0.0
7,7.0,151.0,8.0,8.0,2023-10-29,KAN,@,DEN,"L, 9-24",*,9,6,58,9.7,0,66.7,6.4,0,0,0,0,0,0,0,0,0,52,85.2,0,0.0,0,0.0
8,8.0,152.0,9.0,9.0,2023-11-05,KAN,,MIA,"W, 21-14",*,4,3,14,4.7,0,75.0,3.5,0,0,0,0,0,0,0,0,0,46,76.7,0,0.0,0,0.0
9,9.0,153.0,10.0,11.0,2023-11-20,KAN,,PHI,"L, 17-21",*,9,7,44,6.3,1,77.8,4.9,0,0,0,1,1,0,0,0,0,74,93.7,0,0.0,0,0.0
10,10.0,154.0,11.0,12.0,2023-11-26,KAN,@,LVR,"W, 31-17",*,7,6,91,15.2,0,85.7,13.0,0,0,0,0,0,0,0,0,0,46,76.7,0,0.0,0,0.0
11,11.0,155.0,12.0,13.0,2023-12-03,KAN,@,GNB,"L, 19-27",*,5,4,81,20.3,0,80.0,16.2,0,0,0,0,0,0,0,0,0,59,88.1,0,0.0,0,0.0
12,12.0,156.0,13.0,14.0,2023-12-10,KAN,,BUF,"L, 17-20",*,10,6,83,13.8,0,60.0,8.3,0,0,0,0,0,0,0,0,0,59,89.4,1,1.3,0,0.0
13,13.0,157.0,14.0,15.0,2023-12-17,KAN,@,NWE,"W, 27-17",*,7,5,28,5.6,0,71.4,4.0,0,0,0,0,0,0,0,0,0,50,76.9,0,0.0,0,0.0
14,14.0,158.0,15.0,16.0,2023-12-25,KAN,,LVR,"L, 14-20",*,7,5,44,8.8,0,71.4,6.3,0,0,0,0,0,0,0,0,0,61,80.3,0,0.0,0,0.0
15,15.0,159.0,16.0,17.0,2023-12-31,KAN,,CIN,"W, 25-17",*,4,3,16,5.3,0,75.0,4.0,0,0,0,0,0,0,0,0,0,44,81.5,0,0.0,0,0.0
16,15.0,,17.0,18.0,2024-01-07,KAN,@,LAC,"W, 13-12",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
17,,,,,,,,,10-5,,121,93,984,10.6,5,76.9,8.1,0,0,0,1,1,0,0,0,0,775,77.0,2,0.2,0,0.0
