,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Tgt,Rec,Yds.3,TD.2,Fmb,FL,FF,FR,Yds.4,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,51.0,1.0,1.0,2024-09-08,JAX,@,MIA,"L, 17-20",*,12,21,57.1,162,1,0,7.7,8.67,97.7,3,23,1,8,0,8.0,0,0,0,0,0,0,0,0,0,0,53,100.0,0,0.0,0,0.0
1,2.0,52.0,2.0,2.0,2024-09-15,JAX,,CLE,"L, 13-18",*,14,30,46.7,220,0,0,7.3,7.33,71.5,4,24,2,45,0,22.5,0,0,0,0,1,0,0,0,0,0,60,100.0,0,0.0,0,0.0
2,3.0,53.0,3.0,3.0,2024-09-23,JAX,@,BUF,"L, 10-47",*,21,38,55.3,178,1,1,4.7,4.03,65.5,4,36,2,3,0,1.5,0,0,0,0,0,0,0,0,0,0,57,80.3,0,0.0,0,0.0
3,4.0,54.0,4.0,4.0,2024-09-29,JAX,@,HOU,"L, 20-24",*,18,33,54.5,169,2,0,5.1,6.33,89.1,1,14,3,5,0,1.7,0,0,-5,0,1,0,0,0,0,0,58,100.0,0,0.0,0,0.0
4,5.0,55.0,5.0,5.0,2024-10-06,JAX,,IND,"W, 37-34",*,28,34,82.4,371,2,1,10.9,10.76,119.5,0,0,2,4,0,2.0,0,0,0,0,0,0,0,0,0,0,58,100.0,0,0.0,0,0.0
5,6.0,56.0,6.0,6.0,2024-10-13,JAX,@,CHI,"L, 16-35",*,23,35,65.7,234,2,1,6.7,6.54,91.8,3,20,4,17,0,4.3,0,0,0,0,0,0,0,0,0,0,59,95.2,0,0.0,0,0.0
6,7.0,57.0,7.0,7.0,2024-10-20,JAX,,NWE,"W, 32-16",*,15,20,75.0,193,1,0,9.7,10.65,121.5,0,0,2,13,0,6.5,0,0,0,0,0,0,0,0,0,0,61,100.0,0,0.0,0,0.0
7,8.0,58.0,8.0,8.0,2024-10-27,JAX,,GNB,"L, 27-30",*,21,32,65.6,308,2,1,9.6,9.47,104.7,1,9,4,10,1,2.5,0,0,0,0,1,1,0,1,0,0,57,100.0,0,0.0,0,0.0
8,9.0,59.0,9.0,9.0,2024-11-03,JAX,@,PHI,"L, 23-28",*,16,31,51.6,169,0,2,5.5,2.55,40.9,2,14,5,8,2,1.6,0,0,0,0,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
9,9.0,,10.0,10.0,2024-11-10,JAX,,MIN,"L, 7-12",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
10,9.0,,11.0,11.0,2024-11-17,JAX,@,DET,"L, 6-52",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,10.0,60.0,12.0,13.0,2024-12-01,JAX,,HOU,"L, 20-23",*,4,10,40.0,41,0,1,4.1,-0.40,12.9,0,0,1,6,0,6.0,0,0,0,0,0,0,0,0,0,0,19,27.1,0,0.0,0,0.0
12,10.0,,13.0,14.0,2024-12-08,JAX,@,TEN,"W, 10-6",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
