,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,37.0,1.0,1.0,2023-09-10,MIA,@,LAC,"W, 36-34",*,28,45,62.2,466,3,1,10.4,10.69,110.0,0,0,5,5,0,1.0,2,1,0,1,-9,0,67,100.0,0,0.0,0,0.0
1,2.0,38.0,2.0,2.0,2023-09-17,MIA,@,NWE,"W, 24-17",*,21,30,70.0,249,1,1,8.3,7.47,92.2,1,5,4,3,0,0.8,2,0,0,2,-4,0,63,100.0,0,0.0,0,0.0
2,3.0,39.0,3.0,3.0,2023-09-24,MIA,,DEN,"W, 70-20",*,23,26,88.5,309,4,0,11.9,14.96,155.8,0,0,0,0,0,,0,0,0,0,0,0,58,79.5,0,0.0,0,0.0
3,4.0,40.0,4.0,4.0,2023-10-01,MIA,@,BUF,"L, 20-48",*,25,35,71.4,282,1,1,8.1,7.34,92.8,4,31,2,7,0,3.5,1,0,0,2,0,0,65,100.0,0,0.0,0,0.0
4,5.0,41.0,5.0,5.0,2023-10-08,MIA,,NYG,"W, 31-16",*,22,30,73.3,308,2,2,10.3,8.6,100.4,1,6,2,6,0,3.0,0,0,0,0,0,0,54,100.0,0,0.0,0,0.0
5,6.0,42.0,6.0,6.0,2023-10-15,MIA,,CAR,"W, 42-21",*,21,31,67.7,262,3,0,8.5,10.39,126.0,0,0,1,0,0,0.0,1,0,0,0,-9,0,56,83.6,0,0.0,0,0.0
6,7.0,43.0,7.0,7.0,2023-10-22,MIA,@,PHI,"L, 17-31",*,23,32,71.9,216,1,1,6.8,5.97,87.5,3,10,1,-3,0,-3.0,0,0,0,1,0,0,49,100.0,0,0.0,0,0.0
7,8.0,44.0,8.0,8.0,2023-10-29,MIA,,NWE,"W, 31-17",*,30,45,66.7,324,3,1,7.2,7.53,100.6,2,12,6,8,0,1.3,1,1,0,0,-4,0,77,100.0,0,0.0,0,0.0
8,9.0,45.0,9.0,9.0,2023-11-05,MIA,@,KAN,"L, 14-21",*,21,34,61.8,193,1,0,5.7,6.26,87.0,3,18,2,7,0,3.5,1,0,0,1,-13,0,63,100.0,0,0.0,0,0.0
9,10.0,46.0,10.0,11.0,2023-11-19,MIA,,LVR,"W, 20-13",*,28,39,71.8,325,2,1,8.3,8.21,103.0,1,2,2,6,0,3.0,1,1,0,0,0,0,70,100.0,0,0.0,0,0.0
10,11.0,47.0,11.0,12.0,2023-11-24,MIA,@,NYJ,"W, 34-13",*,21,30,70.0,243,1,2,8.1,5.77,77.5,2,15,2,1,0,0.5,1,1,0,0,-2,0,69,98.6,0,0.0,0,0.0
11,12.0,48.0,12.0,13.0,2023-12-03,MIA,@,WAS,"W, 45-15",*,18,24,75.0,280,2,0,11.7,13.33,141.0,0,0,0,0,0,,0,0,0,0,0,0,48,78.7,0,0.0,0,0.0
12,13.0,49.0,13.0,14.0,2023-12-11,MIA,,TEN,"L, 27-28",*,23,33,69.7,240,0,0,7.3,7.27,90.5,5,32,3,15,0,5.0,2,1,0,1,0,0,72,100.0,0,0.0,0,0.0
13,14.0,50.0,14.0,15.0,2023-12-17,MIA,,NYJ,"W, 30-0",*,21,24,87.5,224,1,0,9.3,10.17,119.4,3,15,0,0,0,,0,0,0,0,0,0,53,86.9,0,0.0,0,0.0
14,15.0,51.0,15.0,16.0,2023-12-24,MIA,,DAL,"W, 22-20",*,24,37,64.9,293,1,0,7.9,8.46,98.1,1,9,2,-2,0,-1.0,1,0,0,1,5,0,65,100.0,0,0.0,0,0.0
15,16.0,52.0,16.0,17.0,2023-12-31,MIA,@,BAL,"L, 19-56",*,22,38,57.9,237,2,2,6.2,4.92,71.9,3,16,2,14,0,7.0,0,0,0,0,0,0,64,92.8,0,0.0,0,0.0
16,17.0,53.0,17.0,18.0,2024-01-07,MIA,,BUF,"L, 14-21",*,17,27,63.0,173,1,2,6.4,3.81,62.7,0,0,1,7,0,7.0,0,0,0,0,0,0,52,100.0,0,0.0,0,0.0
17,,,,,,,,,11-6,,388,560,69.3,4624,29,14,8.3,8.17,101.1,29,171,35,74,0,2.1,13,5,0,9,-36,0,1045,95.2,0,0.0,0,0.0
