,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2023-09-10,GNB,@,CHI,"W, 38-20",,0,0,0,,0,,,0.0,0,0,0,0,0,0,13,21.7,0,0.0,4,14.3
1,2.0,2.0,2.0,2.0,2023-09-17,GNB,@,ATL,"L, 24-25",,0,0,0,,0,,,0.0,0,0,0,0,0,0,2,4.0,0,0.0,7,25.9
2,3.0,3.0,3.0,3.0,2023-09-24,GNB,,NOR,"W, 18-17",,0,0,0,,0,,,0.0,0,0,0,0,0,0,10,12.7,0,0.0,10,40.0
3,4.0,4.0,4.0,4.0,2023-09-28,GNB,,DET,"L, 20-34",,2,2,5,2.5,0,100.0,2.5,0.0,0,0,0,0,0,0,13,22.8,0,0.0,16,53.3
4,5.0,5.0,5.0,5.0,2023-10-09,GNB,@,LVR,"L, 13-17",,0,0,0,,0,,,0.0,1,0,1,0,0,0,23,39.7,0,0.0,9,37.5
5,6.0,6.0,6.0,7.0,2023-10-22,GNB,@,DEN,"L, 17-19",,0,0,0,,0,,,0.0,0,0,0,0,0,0,32,50.0,0,0.0,11,44.0
6,7.0,7.0,7.0,8.0,2023-10-29,GNB,,MIN,"L, 10-24",,0,0,0,,0,,,0.0,1,1,0,0,0,0,19,27.9,0,0.0,11,47.8
7,8.0,8.0,8.0,9.0,2023-11-05,GNB,,LAR,"W, 20-3",,0,0,0,,0,,,0.0,1,1,0,0,0,0,28,38.9,0,0.0,10,43.5
8,9.0,9.0,9.0,10.0,2023-11-12,GNB,@,PIT,"L, 19-23",*,3,1,6,6.0,0,33.3,2.0,0.0,0,0,0,0,0,0,35,51.5,0,0.0,16,55.2
9,10.0,10.0,10.0,11.0,2023-11-19,GNB,,LAC,"W, 23-20",,2,2,32,16.0,0,100.0,16.0,0.0,0,0,0,0,0,0,30,41.7,0,0.0,18,69.2
10,11.0,11.0,11.0,12.0,2023-11-23,GNB,@,DET,"W, 29-22",*,2,2,15,7.5,1,100.0,7.5,0.0,0,0,0,0,0,0,54,96.4,0,0.0,13,56.5
11,12.0,12.0,12.0,13.0,2023-12-03,GNB,,KAN,"W, 27-19",*,6,3,37,12.3,0,50.0,6.2,0.0,0,0,0,0,0,0,61,95.3,0,0.0,12,54.5
12,13.0,13.0,13.0,14.0,2023-12-11,GNB,@,NYG,"L, 22-24",*,4,4,64,16.0,0,100.0,16.0,0.0,0,0,0,0,0,0,68,100.0,0,0.0,12,44.4
13,14.0,14.0,14.0,15.0,2023-12-17,GNB,,TAM,"L, 20-34",*,6,4,57,14.3,1,66.7,9.5,0.0,0,0,0,0,0,0,57,95.0,0,0.0,12,48.0
14,15.0,15.0,15.0,16.0,2023-12-24,GNB,@,CAR,"W, 33-30",*,6,4,60,15.0,0,66.7,10.0,0.0,0,0,0,0,0,0,61,92.4,0,0.0,14,46.7
15,16.0,16.0,16.0,17.0,2023-12-31,GNB,@,MIN,"W, 33-10",*,6,6,48,8.0,0,100.0,8.0,0.0,0,0,0,0,0,0,61,82.4,0,0.0,11,45.8
16,17.0,17.0,17.0,18.0,2024-01-07,GNB,,CHI,"W, 17-9",*,3,3,31,10.3,0,100.0,10.3,0.0,0,0,0,0,0,0,54,90.0,0,0.0,8,44.4
17,,,,,,,,,9-8,,40,31,355,11.5,2,77.5,8.9,0.0,3,2,1,0,0,0,621,56.7,0,0.0,194,45.2
