,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,4.0,1.0,1.0,2023-09-10,MIN,,TAM,"L, 17-20",,3,0,0,0.0,1,1,18,18.0,0,100.0,18.0,1,15,0,15.0,0.0,0,0,0,0,0,0,11,17.2,0,0.0,5,17.9
1,2.0,5.0,2.0,2.0,2023-09-14,MIN,@,PHI,"L, 28-34",,1,0,0,0.0,2,2,9,4.5,0,100.0,4.5,0,0,0,,0.0,0,0,0,0,0,0,7,12.1,0,0.0,7,24.1
2,3.0,6.0,3.0,3.0,2023-09-24,MIN,,LAC,"L, 24-28",,3,27,0,9.0,2,1,4,4.0,0,50.0,2.0,0,0,0,,0.0,0,0,0,0,0,0,12,14.6,0,0.0,6,24.0
3,4.0,7.0,4.0,4.0,2023-10-01,MIN,@,CAR,"W, 21-13",,0,0,0,,0,0,0,,0,,,2,55,0,27.5,0.0,0,0,0,0,0,0,0,0.0,0,0.0,6,27.3
4,5.0,8.0,5.0,5.0,2023-10-08,MIN,,KAN,"L, 20-27",,1,15,0,15.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,13,54.2
5,6.0,9.0,6.0,6.0,2023-10-15,MIN,@,CHI,"W, 19-13",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,1,0,1,0,0,0,0,0.0,0,0.0,16,61.5
6,7.0,10.0,7.0,7.0,2023-10-23,MIN,,SFO,"W, 22-17",,0,0,0,,1,1,12,12.0,0,100.0,12.0,0,0,0,,0.0,0,0,0,0,0,0,3,4.3,0,0.0,8,36.4
7,8.0,11.0,8.0,8.0,2023-10-29,MIN,@,GNB,"W, 24-10",,0,0,0,,0,0,0,,0,,,1,27,0,27.0,0.0,0,0,0,0,0,0,1,1.4,0,0.0,13,56.5
8,9.0,12.0,9.0,9.0,2023-11-05,MIN,@,ATL,"W, 31-28",,0,0,0,,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,0,0.0,0,0.0,21,63.6
9,10.0,13.0,10.0,10.0,2023-11-12,MIN,,NOR,"W, 27-19",,15,45,1,3.0,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,32,43.8,0,0.0,8,27.6
10,11.0,14.0,11.0,11.0,2023-11-19,MIN,@,DEN,"L, 20-21",,10,73,0,7.3,4,4,37,9.3,0,100.0,9.3,0,0,0,,0.0,0,0,0,0,0,0,23,31.1,0,0.0,3,11.1
11,12.0,15.0,12.0,12.0,2023-11-27,MIN,,CHI,"L, 10-12",,4,8,0,2.0,2,1,3,3.0,0,50.0,1.5,0,0,0,,0.0,0,0,0,0,0,0,18,32.7,0,0.0,3,15.0
12,13.0,16.0,13.0,14.0,2023-12-10,MIN,@,LVR,"W, 3-0",,12,35,0,2.9,3,3,7,2.3,0,100.0,2.3,0,0,0,,0.0,1,0,1,0,0,0,40,55.6,0,0.0,7,31.8
13,14.0,17.0,14.0,15.0,2023-12-16,MIN,@,CIN,"L, 24-27 (OT)",*,23,132,1,5.7,4,3,25,8.3,0,75.0,6.3,0,0,0,,0.0,0,0,0,0,0,0,55,80.9,0,0.0,2,7.4
14,15.0,18.0,15.0,16.0,2023-12-24,MIN,,DET,"L, 24-30",*,8,17,1,2.1,0,0,0,,0,,,0,0,0,,0.0,0,0,0,0,0,0,36,65.5,0,0.0,0,0.0
15,16.0,19.0,16.0,17.0,2023-12-31,MIN,,GNB,"L, 10-33",*,10,40,0,4.0,3,3,24,8.0,0,100.0,8.0,0,0,0,,0.0,0,0,0,0,0,0,30,56.6,0,0.0,1,4.2
16,17.0,20.0,17.0,18.0,2024-01-07,MIN,@,DET,"L, 20-30",*,12,69,0,5.8,3,2,20,10.0,0,66.7,6.7,0,0,0,,0.0,0,0,0,0,0,0,39,53.4,0,0.0,0,0.0
17,,,,,,,,,7-10,,102,461,3,4.5,25,21,159,7.6,0,84.0,6.4,4,97,0,24.3,0.0,2,0,2,0,0,0,307,27.4,0,0.0,119,27.4
