,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Cmp,Att,Cmp%,Yds.1,TD.1,Int,Y/A,AY/A,Rate,Sk,Yds.2,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,88.0,1.0,1.0,2022-09-11,CIN,,PIT,"L, 20-23 (OT)",,7,4,33,8.3,1,57.1,4.7,0,0,,0,0,0,,,,0,0,80,80.0,0,0.0,0,0.0
1,2.0,89.0,2.0,2.0,2022-09-18,CIN,@,DAL,"L, 17-20",,2,2,17,8.5,0,100.0,8.5,0,0,,0,0,0,,,,0,0,57,81.4,0,0.0,0,0.0
2,3.0,90.0,3.0,3.0,2022-09-25,CIN,@,NYJ,"W, 27-12",*,5,4,105,26.3,1,80.0,21.0,0,0,,0,0,0,,,,0,0,46,67.6,0,0.0,0,0.0
3,4.0,91.0,4.0,4.0,2022-09-29,CIN,,MIA,"W, 27-15",*,5,2,47,23.5,0,40.0,9.4,1,1,100.0,23,0,0,23.0,23.0,118.7,0,0,46,71.9,0,0.0,0,0.0
4,5.0,92.0,5.0,5.0,2022-10-09,CIN,@,BAL,"L, 17-19",*,4,3,32,10.7,0,75.0,8.0,0,0,,0,0,0,,,,1,12,61,96.8,0,0.0,0,0.0
5,6.0,93.0,6.0,6.0,2022-10-16,CIN,@,NOR,"W, 30-26",*,6,6,66,11.0,0,100.0,11.0,0,0,,0,0,0,,,,0,0,55,96.5,0,0.0,0,0.0
6,7.0,94.0,7.0,7.0,2022-10-23,CIN,,ATL,"W, 35-17",*,9,8,155,19.4,1,88.9,17.2,0,0,,0,0,0,,,,0,0,51,75.0,0,0.0,0,0.0
7,8.0,95.0,8.0,8.0,2022-10-31,CIN,@,CLE,"L, 13-32",*,5,3,38,12.7,1,60.0,7.6,0,0,,0,0,0,,,,0,0,51,96.2,0,0.0,0,0.0
8,9.0,96.0,9.0,9.0,2022-11-06,CIN,,CAR,"W, 42-21",*,6,5,44,8.8,0,83.3,7.3,0,0,,0,0,0,,,,0,0,49,66.2,0,0.0,2,6.9
9,10.0,97.0,10.0,11.0,2022-11-20,CIN,@,PIT,"W, 37-30",*,7,2,42,21.0,0,28.6,6.0,0,0,,0,0,0,,,,0,0,54,81.8,0,0.0,1,2.8
10,11.0,98.0,11.0,12.0,2022-11-27,CIN,@,TEN,"W, 20-16",*,4,2,16,8.0,0,50.0,4.0,0,0,,0,0,0,,,,0,0,53,75.7,0,0.0,0,0.0
11,12.0,99.0,12.0,13.0,2022-12-04,CIN,,KAN,"W, 27-24",*,5,4,60,15.0,0,80.0,12.0,0,0,,0,0,0,,,,0,0,62,86.1,0,0.0,0,0.0
12,13.0,100.0,13.0,14.0,2022-12-11,CIN,,CLE,"W, 23-10",*,1,0,0,,0,0.0,0.0,0,0,,0,0,0,,,,0,0,2,3.0,0,0.0,0,0.0
13,14.0,101.0,14.0,15.0,2022-12-18,CIN,@,TAM,"W, 34-23",*,5,5,35,7.0,1,100.0,7.0,0,0,,0,0,0,,,,0,0,40,60.6,0,0.0,0,0.0
14,15.0,102.0,15.0,16.0,2022-12-24,CIN,@,NWE,"W, 22-18",*,4,3,21,7.0,0,75.0,5.3,0,0,,0,0,0,,,,0,0,42,50.6,0,0.0,0,0.0
15,16.0,103.0,16.0,18.0,2023-01-08,CIN,,BAL,"W, 27-16",*,7,5,51,10.2,0,71.4,7.3,0,0,,0,0,0,,,,0,0,48,72.7,0,0.0,0,0.0
16,,,,,,,,,12-4,,82,58,762,13.1,5,70.7,9.3,1,1,100.0,23,0,0,23.0,23.0,118.7,1,12,797,72.0,0,0.0,3,0.7
