,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,,,1.0,1.0,2019-09-08,MIN,,ATL,"W, 28-12",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
1,1.0,17.0,2.0,2.0,2019-09-15,MIN,@,GNB,"L, 16-21",,0,0,0,,0,,,0.0,0,0,0,0,0,0,6,9.2,0,0.0,17,58.6
2,2.0,18.0,3.0,3.0,2019-09-22,MIN,,OAK,"W, 34-14",,0,0,0,,0,,,0.0,0,0,0,0,0,0,14,22.6,0,0.0,12,48.0
3,3.0,19.0,4.0,4.0,2019-09-29,MIN,@,CHI,"L, 6-16",,0,0,0,,0,,,0.0,0,0,0,0,0,0,2,3.3,0,0.0,11,55.0
4,4.0,20.0,5.0,5.0,2019-10-06,MIN,@,NYG,"W, 28-10",,0,0,0,,0,,,0.0,0,0,0,0,0,0,11,16.4,0,0.0,12,50.0
5,5.0,21.0,6.0,6.0,2019-10-13,MIN,,PHI,"W, 38-20",,0,0,0,,0,,,0.0,1,1,0,0,0,0,11,15.7,0,0.0,13,44.8
6,6.0,22.0,7.0,7.0,2019-10-20,MIN,@,DET,"W, 42-30",,0,0,0,,0,,,0.0,0,0,0,0,0,0,27,37.0,0,0.0,6,20.7
7,7.0,23.0,8.0,8.0,2019-10-24,MIN,,WAS,"W, 19-9",*,0,0,0,,0,,,0.0,0,0,0,0,0,0,31,43.1,0,0.0,4,20.0
8,8.0,24.0,9.0,9.0,2019-11-03,MIN,@,KAN,"L, 23-26",,0,0,0,,0,,,0.0,0,0,0,0,0,0,14,20.0,0,0.0,9,26.5
9,9.0,25.0,10.0,10.0,2019-11-10,MIN,@,DAL,"W, 28-24",,1,0,0,,0,0.0,0.0,0.0,0,0,0,0,0,0,31,40.8,0,0.0,9,36.0
10,10.0,26.0,11.0,11.0,2019-11-17,MIN,,DEN,"W, 27-23",,3,2,28,14.0,0,66.7,9.3,0.0,0,0,0,0,0,0,9,14.5,0,0.0,8,28.6
11,11.0,27.0,12.0,13.0,2019-12-02,MIN,@,SEA,"L, 30-37",,2,2,8,4.0,0,100.0,4.0,0.0,0,0,0,0,0,0,11,20.4,0,0.0,10,30.3
12,12.0,28.0,13.0,14.0,2019-12-08,MIN,,DET,"W, 20-7",,3,3,13,4.3,0,100.0,4.3,0.0,0,0,0,0,0,0,35,48.6,0,0.0,7,26.9
13,13.0,29.0,14.0,15.0,2019-12-15,MIN,@,LAC,"W, 39-10",,0,0,0,,0,,,0.0,0,0,0,0,0,0,30,46.2,0,0.0,5,20.0
14,14.0,30.0,15.0,16.0,2019-12-23,MIN,,GNB,"L, 10-23",,0,0,0,,0,,,0.0,0,0,0,0,0,0,7,13.0,0,0.0,19,70.4
15,15.0,31.0,16.0,17.0,2019-12-29,MIN,,CHI,"L, 19-21",,1,1,9,9.0,0,100.0,9.0,0.0,0,0,0,0,0,0,35,71.4,0,0.0,14,56.0
16,,,,,,,,,9-6,,10,8,58,7.3,0,80.0,5.8,0.0,1,1,0,0,0,0,274,28.2,0,0.0,156,39.1
