,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,48.0,1.0,1.0,2021-09-12,MIN,@,CIN,"L, 24-27 (OT)",,4,4,41,10.3,0,100.0,10.3,0,0,0,0,0,0,59,71.1,0,0.0,0,0.0
1,2.0,49.0,2.0,2.0,2021-09-19,MIN,@,ARI,"L, 33-34",*,4,2,15,7.5,0,50.0,3.8,0,0,0,0,0,0,49,80.3,0,0.0,0,0.0
2,3.0,50.0,3.0,3.0,2021-09-26,MIN,,SEA,"W, 30-17",*,8,7,70,10.0,1,87.5,8.8,0,0,0,0,0,0,54,72.0,0,0.0,0,0.0
3,4.0,51.0,4.0,4.0,2021-10-03,MIN,,CLE,"L, 7-14",*,6,4,18,4.5,0,66.7,3.0,0,0,0,0,0,0,57,85.1,0,0.0,0,0.0
4,5.0,52.0,5.0,5.0,2021-10-10,MIN,,DET,"W, 19-17",*,3,2,25,12.5,0,66.7,8.3,0,0,0,0,0,0,50,74.6,0,0.0,1,3.8
5,6.0,53.0,6.0,6.0,2021-10-17,MIN,@,CAR,"W, 34-28 (OT)",*,5,3,71,23.7,0,60.0,14.2,0,0,0,0,0,0,76,85.4,0,0.0,0,0.0
6,7.0,54.0,7.0,8.0,2021-10-31,MIN,,DAL,"L, 16-20",*,7,5,57,11.4,0,71.4,8.1,0,0,0,0,0,0,54,81.8,0,0.0,0,0.0
7,8.0,55.0,8.0,9.0,2021-11-07,MIN,@,BAL,"L, 31-34 (OT)",,7,5,45,9.0,0,71.4,6.4,0,0,0,0,0,0,47,87.0,0,0.0,0,0.0
8,9.0,56.0,9.0,10.0,2021-11-14,MIN,@,LAC,"W, 27-20",*,5,3,11,3.7,2,60.0,2.2,0,0,0,0,0,0,67,84.8,0,0.0,0,0.0
9,10.0,57.0,10.0,11.0,2021-11-21,MIN,,GNB,"W, 34-31",*,3,3,35,11.7,0,100.0,11.7,0,0,0,0,0,0,56,80.0,0,0.0,0,0.0
10,11.0,58.0,11.0,12.0,2021-11-28,MIN,@,SFO,"L, 26-34",*,3,2,25,12.5,0,66.7,8.3,1,0,0,1,0,0,44,80.0,0,0.0,0,0.0
11,12.0,59.0,12.0,13.0,2021-12-05,MIN,@,DET,"L, 27-29",*,9,7,56,8.0,0,77.8,6.2,0,0,0,0,0,0,72,94.7,0,0.0,0,0.0
12,13.0,60.0,13.0,14.0,2021-12-09,MIN,,PIT,"W, 36-28",*,2,2,20,10.0,0,100.0,10.0,0,0,0,0,0,0,49,70.0,0,0.0,0,0.0
13,14.0,61.0,14.0,15.0,2021-12-20,MIN,@,CHI,"W, 17-9",*,3,1,7,7.0,0,33.3,2.3,0,0,0,0,0,0,47,73.4,0,0.0,0,0.0
14,15.0,62.0,15.0,16.0,2021-12-26,MIN,,LAR,"L, 23-30",*,5,4,44,11.0,0,80.0,8.8,0,0,0,0,0,0,61,96.8,0,0.0,0,0.0
15,16.0,63.0,16.0,17.0,2022-01-02,MIN,@,GNB,"L, 10-37",*,9,5,47,9.4,0,55.6,5.2,0,0,0,0,0,0,50,92.6,0,0.0,0,0.0
16,17.0,64.0,17.0,18.0,2022-01-09,MIN,,CHI,"W, 31-17",*,4,2,6,3.0,0,50.0,1.5,0,0,0,0,0,0,32,66.7,0,0.0,0,0.0
17,,,,,,,,,8-9,,87,61,593,9.7,3,70.1,6.8,1,0,0,1,0,0,924,81.0,0,0.0,1,0.2
