,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,99.0,1.0,1.0,2024-09-09,NYJ,@,SFO,"L, 19-32",*,2,1,6,6.0,0,50.0,3.0,0,0,0,,0,0,0,0,0,0,46,90.2,0,0.0,1,3.8
1,2.0,100.0,2.0,2.0,2024-09-15,NYJ,@,TEN,"W, 24-17",*,2,1,10,10.0,0,50.0,5.0,0,0,0,,0,0,0,0,0,0,53,93.0,0,0.0,4,15.4
2,3.0,101.0,3.0,3.0,2024-09-19,NYJ,,NWE,"W, 24-3",*,6,5,93,18.6,0,83.3,15.5,0,0,0,,0,0,0,0,0,0,67,91.8,0,0.0,5,23.8
3,4.0,102.0,4.0,4.0,2024-09-29,NYJ,,DEN,"L, 9-10",*,8,4,17,4.3,0,50.0,2.1,0,0,0,,0,0,0,0,0,0,68,91.9,0,0.0,4,14.3
4,5.0,103.0,5.0,5.0,2024-10-06,NYJ,@,MIN,"L, 17-23",*,9,6,55,9.2,0,66.7,6.1,0,0,0,,0,0,0,0,0,0,59,81.9,0,0.0,2,6.9
5,6.0,104.0,6.0,6.0,2024-10-14,NYJ,,BUF,"L, 20-23",*,3,2,10,5.0,0,66.7,3.3,0,0,0,,0,0,0,0,0,0,46,73.0,0,0.0,0,0.0
6,7.0,105.0,7.0,7.0,2024-10-20,NYJ,@,PIT,"L, 15-37",*,4,4,7,1.8,1,100.0,1.8,0,0,0,,0,0,0,0,0,0,49,86.0,0,0.0,0,0.0
7,8.0,106.0,8.0,8.0,2024-10-27,NYJ,@,NWE,"L, 22-25",*,4,3,42,14.0,1,75.0,10.5,0,0,0,,0,0,0,1,0,0,50,80.6,0,0.0,0,0.0
8,9.0,107.0,9.0,9.0,2024-10-31,NYJ,,HOU,"W, 21-13",*,2,1,-3,-3.0,0,50.0,-1.5,0,0,0,,0,0,0,0,0,0,45,77.6,0,0.0,1,3.8
9,10.0,108.0,10.0,10.0,2024-11-10,NYJ,@,ARI,"L, 6-31",*,2,1,8,8.0,0,50.0,4.0,0,0,0,,0,0,0,0,0,0,45,77.6,0,0.0,0,0.0
10,11.0,109.0,11.0,11.0,2024-11-17,NYJ,,IND,"L, 27-28",*,2,1,7,7.0,0,50.0,3.5,1,0,0,0.0,0,0,0,1,-3,0,47,92.2,0,0.0,0,0.0
11,12.0,110.0,12.0,13.0,2024-12-01,NYJ,,SEA,"L, 21-26",*,5,4,32,8.0,0,80.0,6.4,0,0,0,,0,0,0,0,0,0,56,82.4,0,0.0,0,0.0
12,13.0,111.0,13.0,14.0,2024-12-08,NYJ,@,MIA,"L, 26-32 (OT)",*,5,3,33,11.0,0,60.0,6.6,0,0,0,,0,0,0,0,0,0,54,79.4,0,0.0,0,0.0
13,13.0,,14.0,15.0,2024-12-15,NYJ,@,JAX,"W, 32-25",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,14.0,112.0,15.0,16.0,2024-12-22,NYJ,,LAR,"L, 9-19",,7,5,59,11.8,0,71.4,8.4,0,0,0,,0,0,0,0,0,0,53,76.8,0,0.0,0,0.0
15,15.0,113.0,16.0,17.0,2024-12-29,NYJ,@,BUF,"L, 14-40",*,8,8,57,7.1,1,100.0,7.1,0,0,0,,0,0,0,0,0,0,53,84.1,0,0.0,0,0.0
16,16.0,114.0,17.0,18.0,2025-01-05,NYJ,,MIA,"W, 32-20",*,3,2,16,8.0,1,66.7,5.3,0,0,0,,0,0,0,0,0,0,14,21.9,0,0.0,0,0.0
17,,,,,,,,,4-12,,72,51,449,8.8,4,70.8,6.2,1,0,0,0.0,0,0,0,2,-3,0,805,79.9,0,0.0,17,4.2
