,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2018-09-10,LAR,@,OAK,"W, 33-13",*,0,0,0,,0,,,0,0,0,0,0,0,60,95.2,0,0.0,8,26.7
1,2.0,34.0,2.0,2.0,2018-09-16,LAR,,ARI,"W, 34-0",*,2,1,3,3.0,1,50.0,1.5,0,0,0,0,0,0,64,88.9,0,0.0,2,11.1
2,3.0,35.0,3.0,3.0,2018-09-23,LAR,,LAC,"W, 35-23",*,2,2,35,17.5,0,100.0,17.5,0,0,0,0,0,0,58,75.3,0,0.0,6,24.0
3,4.0,36.0,4.0,4.0,2018-09-27,LAR,,MIN,"W, 38-31",*,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,34,61.8,0,0.0,0,0.0
4,5.0,37.0,5.0,5.0,2018-10-07,LAR,@,SEA,"W, 33-31",*,4,2,26,13.0,0,50.0,6.5,0,0,0,0,0,0,53,80.3,0,0.0,0,0.0
5,6.0,38.0,6.0,6.0,2018-10-14,LAR,@,DEN,"W, 23-20",*,0,0,0,,0,,,0,0,0,0,0,0,55,74.3,0,0.0,1,3.6
6,7.0,39.0,7.0,7.0,2018-10-21,LAR,@,SFO,"W, 39-10",*,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,42,68.9,0,0.0,0,0.0
7,8.0,40.0,8.0,8.0,2018-10-28,LAR,,GNB,"W, 29-27",*,1,1,6,6.0,0,100.0,6.0,0,0,0,0,0,0,62,79.5,0,0.0,0,0.0
8,9.0,41.0,9.0,9.0,2018-11-04,LAR,@,NOR,"L, 35-45",*,4,2,40,20.0,0,50.0,10.0,0,0,0,0,0,0,42,70.0,0,0.0,7,22.6
9,10.0,42.0,10.0,10.0,2018-11-11,LAR,,SEA,"W, 36-31",*,3,3,25,8.3,1,100.0,8.3,0,0,0,0,0,0,50,76.9,0,0.0,7,23.3
10,11.0,43.0,11.0,11.0,2018-11-19,LAR,,KAN,"W, 54-51",*,7,6,63,10.5,0,85.7,9.0,1,0,0,1,0,0,59,73.8,0,0.0,9,20.9
11,12.0,44.0,12.0,13.0,2018-12-02,LAR,@,DET,"W, 30-16",*,4,2,19,9.5,0,50.0,4.8,0,0,0,0,0,0,47,68.1,0,0.0,7,22.6
12,13.0,45.0,13.0,14.0,2018-12-09,LAR,@,CHI,"L, 6-15",*,1,1,9,9.0,0,100.0,9.0,0,0,0,0,0,0,27,42.9,0,0.0,3,12.5
13,14.0,46.0,14.0,15.0,2018-12-16,LAR,,PHI,"L, 23-30",*,2,2,14,7.0,0,100.0,7.0,0,0,0,0,0,0,42,55.3,0,0.0,0,0.0
14,15.0,47.0,15.0,16.0,2018-12-23,LAR,@,ARI,"W, 31-9",*,1,1,16,16.0,0,100.0,16.0,0,0,0,0,0,0,50,73.5,0,0.0,0,0.0
15,16.0,48.0,16.0,17.0,2018-12-30,LAR,,SFO,"W, 48-32",*,1,1,36,36.0,0,100.0,36.0,0,0,0,0,0,0,43,58.9,0,0.0,0,0.0
16,,,,,,,,,13-3,,34,24,292,12.2,2,70.6,8.6,1,0,0,1,0,0,788,71.6,0,0.0,50,10.5
