,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,128.0,1.0,1.0,2023-09-10,SEA,,LAR,"L, 13-30",*,4,2,10,5.0,0,50.0,2.5,45,88.2,0,0.0,0,0.0
1,2.0,129.0,2.0,2.0,2023-09-17,SEA,@,DET,"W, 37-31 (OT)",*,10,8,59,7.4,2,80.0,5.9,62,86.1,0,0.0,1,3.6
2,3.0,130.0,3.0,3.0,2023-09-24,SEA,,CAR,"W, 37-27",*,7,3,34,11.3,0,42.9,4.9,61,81.3,0,0.0,1,2.9
3,4.0,131.0,4.0,4.0,2023-10-02,SEA,@,NYG,"W, 24-3",*,6,4,54,13.5,0,66.7,9.0,38,69.1,0,0.0,0,0.0
4,5.0,132.0,5.0,6.0,2023-10-15,SEA,@,CIN,"L, 13-17",*,8,6,94,15.7,0,75.0,11.8,57,77.0,0,0.0,0,0.0
5,6.0,133.0,6.0,7.0,2023-10-22,SEA,,ARI,"W, 20-10",*,5,4,38,9.5,0,80.0,7.6,42,70.0,0,0.0,0,0.0
6,7.0,134.0,7.0,8.0,2023-10-29,SEA,,CLE,"W, 24-20",*,9,8,81,10.1,1,88.9,9.0,49,84.5,0,0.0,0,0.0
7,8.0,135.0,8.0,9.0,2023-11-05,SEA,@,BAL,"L, 3-37",*,8,3,32,10.7,0,37.5,4.0,44,89.8,0,0.0,0,0.0
8,9.0,136.0,9.0,10.0,2023-11-12,SEA,,WAS,"W, 29-26",*,10,8,92,11.5,1,80.0,9.2,64,79.0,0,0.0,0,0.0
9,10.0,137.0,10.0,11.0,2023-11-19,SEA,@,LAR,"L, 16-17",*,7,5,51,10.2,0,71.4,7.3,36,55.4,0,0.0,0,0.0
10,11.0,138.0,11.0,12.0,2023-11-23,SEA,,SFO,"L, 13-31",*,5,3,30,10.0,0,60.0,6.0,53,94.6,0,0.0,0,0.0
11,12.0,139.0,12.0,13.0,2023-11-30,SEA,@,DAL,"L, 35-41",*,8,5,47,9.4,0,62.5,5.9,61,88.4,0,0.0,0,0.0
12,13.0,140.0,13.0,14.0,2023-12-10,SEA,@,SFO,"L, 16-28",*,6,6,89,14.8,0,100.0,14.8,48,81.4,0,0.0,0,0.0
13,14.0,141.0,14.0,15.0,2023-12-18,SEA,,PHI,"W, 20-17",*,9,3,21,7.0,0,33.3,2.3,46,75.4,0,0.0,0,0.0
14,15.0,142.0,15.0,16.0,2023-12-24,SEA,@,TEN,"W, 20-17",*,11,8,81,10.1,0,72.7,7.4,50,80.6,0,0.0,0,0.0
15,16.0,143.0,16.0,17.0,2023-12-31,SEA,,PIT,"L, 23-30",*,5,1,10,10.0,0,20.0,2.0,40,81.6,0,0.0,0,0.0
16,17.0,144.0,17.0,18.0,2024-01-07,SEA,@,ARI,"W, 21-20",*,4,2,71,35.5,1,50.0,17.8,43,78.2,0,0.0,0,0.0
17,,,,,,,,,9-8,,122,79,894,11.3,5,64.8,7.3,839,79.8,0,0.0,2,0.4
