,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Cmp,Att.1,Cmp%,Yds.2,TD.2,Int,Y/A.1,AY/A,Rate,Sk,Yds.3,Ret,Yds.4,KRTD,Ret.1,Yds.5,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.6,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,17.0,1.0,1.0,2017-09-07,KAN,@,NWE,"W, 42-27",,8,7,133,19.0,1,87.5,16.6,2,5,0,2.5,0,0,,0,0,0,,,,0,0,0,0,0,2,7,0,3.5,1,0,0,1,0,0,50,73.5,0,0.0,4,10.5
1,2.0,18.0,2.0,2.0,2017-09-17,KAN,,PHI,"W, 27-20",*,6,4,43,10.8,0,66.7,7.2,1,6,0,6.0,0,0,,0,0,0,,,,0,0,0,0,0,1,8,0,8.0,0,0,0,0,0,0,47,88.7,0,0.0,4,13.3
2,3.0,19.0,3.0,3.0,2017-09-24,KAN,@,LAC,"W, 24-10",*,8,5,77,15.4,1,62.5,9.6,3,13,0,4.3,0,0,,0,0,0,,,,0,0,0,0,0,2,10,0,5.0,0,0,0,0,0,0,39,73.6,0,0.0,5,19.2
3,4.0,20.0,4.0,4.0,2017-10-02,KAN,,WAS,"W, 29-20",*,6,5,35,7.0,0,83.3,5.8,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,1,0,0,0.0,1,0,0,1,0,0,58,76.3,0,0.0,4,14.3
4,5.0,21.0,5.0,5.0,2017-10-08,KAN,@,HOU,"W, 42-34",*,6,4,68,17.0,0,66.7,11.3,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,2,75,1,37.5,0,0,0,0,0,0,46,59.7,0,0.0,4,12.5
5,6.0,22.0,6.0,6.0,2017-10-15,KAN,,PIT,"L, 13-19",*,7,5,34,6.8,0,71.4,4.9,1,-9,0,-9.0,0,0,,0,0,0,,,,0,0,0,0,0,3,39,0,13.0,0,0,0,0,0,0,42,77.8,0,0.0,5,20.0
6,7.0,23.0,7.0,7.0,2017-10-19,KAN,@,OAK,"L, 30-31",,8,6,125,20.8,1,75.0,15.6,2,7,0,3.5,0,0,,0,0,0,,,,0,0,0,0,0,2,13,0,6.5,0,0,0,0,0,0,40,64.5,0,0.0,4,12.5
7,8.0,24.0,8.0,8.0,2017-10-30,KAN,,DEN,"W, 29-19",*,6,2,38,19.0,0,33.3,6.3,0,0,0,,0,1,0.0,0,0,1,0.0,-45.00,0.0,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,53,85.5,0,0.0,4,12.5
8,9.0,25.0,9.0,9.0,2017-11-05,KAN,@,DAL,"L, 17-28",*,4,2,64,32.0,1,50.0,16.0,4,9,0,2.3,0,0,,0,0,0,,,,0,0,0,0,0,1,0,0,0.0,0,0,0,0,0,0,48,84.2,0,0.0,5,20.0
9,10.0,26.0,10.0,11.0,2017-11-19,KAN,@,NYG,"L, 9-12 (OT)",*,7,7,68,9.7,0,100.0,9.7,1,16,0,16.0,0,0,,0,0,0,,,,0,0,0,0,0,2,9,0,4.5,0,0,0,0,0,0,64,85.3,0,0.0,4,15.4
10,11.0,27.0,11.0,12.0,2017-11-26,KAN,,BUF,"L, 10-16",*,11,7,41,5.9,0,63.6,3.7,2,13,0,6.5,0,0,,0,0,0,,,,0,0,0,0,0,2,0,0,0.0,0,0,0,0,0,0,48,82.8,0,0.0,8,26.7
11,12.0,28.0,12.0,13.0,2017-12-03,KAN,@,NYJ,"L, 31-38",*,9,6,185,30.8,2,66.7,20.6,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,1,24,0,24.0,0,0,0,0,0,0,42,91.3,0,0.0,2,6.5
12,13.0,29.0,13.0,14.0,2017-12-10,KAN,,OAK,"W, 26-15",*,6,4,75,18.8,0,66.7,12.5,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,3,17,0,5.7,0,0,0,0,0,0,69,92.0,0,0.0,7,25.9
13,14.0,30.0,14.0,15.0,2017-12-16,KAN,,LAC,"W, 30-13",*,6,5,88,17.6,1,83.3,14.7,0,0,0,,0,0,,0,0,0,,,,0,0,0,0,0,1,1,0,1.0,0,0,0,0,0,0,63,95.5,0,0.0,3,12.0
14,15.0,31.0,15.0,16.0,2017-12-24,KAN,,MIA,"W, 29-13",*,7,6,109,18.2,0,85.7,15.6,1,-1,0,-1.0,0,0,,0,0,0,,,,0,0,0,0,0,1,1,0,1.0,0,0,0,0,0,0,67,84.8,0,0.0,2,7.4
15,15.0,,16.0,17.0,2017-12-31,KAN,@,DEN,"W, 27-24",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,9-6,,105,75,1183,15.8,7,71.4,11.3,17,59,0,3.5,0,1,0.0,0,0,1,0.0,-45.00,0.0,0,0,0,0,0,25,204,1,8.2,2,0,0,2,0,0,776,80.7,0,0.0,65,15.0
