,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,109.0,1.0,1.0,2023-09-10,MIA,@,LAC,"W, 36-34",*,15,11,215,19.5,2,73.3,14.3,0,0,0,,0,0,0,0,0,0,44,65.7,0,0.0,0,0.0
1,2.0,110.0,2.0,2.0,2023-09-17,MIA,@,NWE,"W, 24-17",*,9,5,40,8.0,1,55.6,4.4,0,0,0,,0,0,0,0,0,0,54,85.7,0,0.0,0,0.0
2,3.0,111.0,3.0,3.0,2023-09-24,MIA,,DEN,"W, 70-20",*,11,9,157,17.4,1,81.8,14.3,0,0,0,,0,0,0,0,0,0,39,53.4,0,0.0,0,0.0
3,4.0,112.0,4.0,4.0,2023-10-01,MIA,@,BUF,"L, 20-48",*,5,3,58,19.3,0,60.0,11.6,1,14,0,14.0,0,0,0,0,0,0,47,72.3,0,0.0,0,0.0
4,5.0,113.0,5.0,5.0,2023-10-08,MIA,,NYG,"W, 31-16",*,9,8,181,22.6,1,88.9,20.1,0,0,0,,0,0,0,0,0,0,25,46.3,0,0.0,0,0.0
5,6.0,114.0,6.0,6.0,2023-10-15,MIA,,CAR,"W, 42-21",*,10,6,163,27.2,1,60.0,16.3,0,0,0,,0,0,0,0,0,0,38,56.7,0,0.0,1,3.3
6,7.0,115.0,7.0,7.0,2023-10-22,MIA,@,PHI,"L, 17-31",*,15,11,88,8.0,1,73.3,5.9,0,0,0,,0,0,0,0,0,0,38,77.6,0,0.0,0,0.0
7,8.0,116.0,8.0,8.0,2023-10-29,MIA,,NWE,"W, 31-17",*,13,8,112,14.0,1,61.5,8.6,0,0,0,,0,0,0,0,0,0,58,75.3,0,0.0,0,0.0
8,9.0,117.0,9.0,9.0,2023-11-05,MIA,@,KAN,"L, 14-21",*,10,8,62,7.8,0,80.0,6.2,1,3,0,3.0,1,1,0,0,0,0,57,90.5,0,0.0,0,0.0
9,10.0,118.0,10.0,11.0,2023-11-19,MIA,,LVR,"W, 20-13",*,11,10,146,14.6,1,90.9,13.3,0,0,0,,0,0,0,0,0,0,41,58.6,0,0.0,0,0.0
10,11.0,119.0,11.0,12.0,2023-11-24,MIA,@,NYJ,"W, 34-13",*,12,9,102,11.3,1,75.0,8.5,1,2,0,2.0,0,0,0,0,0,0,44,62.9,0,0.0,1,4.2
11,12.0,120.0,12.0,13.0,2023-12-03,MIA,@,WAS,"W, 45-15",*,7,5,157,31.4,2,71.4,22.4,2,-4,0,-2.0,0,0,0,0,0,0,31,50.8,0,0.0,0,0.0
12,13.0,121.0,13.0,14.0,2023-12-11,MIA,,TEN,"L, 27-28",*,5,4,61,15.3,0,80.0,12.2,0,0,0,,0,0,0,0,0,0,34,47.2,0,0.0,1,3.2
13,13.0,,14.0,15.0,2023-12-17,MIA,,NYJ,"W, 30-0",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,14.0,122.0,15.0,16.0,2023-12-24,MIA,,DAL,"W, 22-20",*,14,9,99,11.0,0,64.3,7.1,0,0,0,,0,0,0,0,0,0,55,84.6,0,0.0,0,0.0
15,15.0,123.0,16.0,17.0,2023-12-31,MIA,@,BAL,"L, 19-56",*,12,6,76,12.7,0,50.0,6.3,1,0,0,0.0,0,0,0,0,0,0,50,72.5,0,0.0,0,0.0
16,16.0,124.0,17.0,18.0,2024-01-07,MIA,,BUF,"L, 14-21",*,13,7,82,11.7,1,53.8,6.3,0,0,0,,0,0,0,0,0,0,40,76.9,0,0.0,0,0.0
17,,,,,,,,,10-6,,171,119,1799,15.1,13,69.6,10.5,6,15,0,2.5,1,1,0,0,0,0,695,67.0,0,0.0,3,0.7
