,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,PRTD,Y/Ret,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,32.0,1.0,1.0,2018-09-09,KAN,@,LAC,"W, 38-28",*,8,7,169,24.1,2,87.5,21.1,2,4,0,2.0,2,95,1,47.5,0,0,0,0,0,0,40,71.4,0,0.0,2,6.7
1,2.0,33.0,2.0,2.0,2018-09-16,KAN,@,PIT,"W, 42-37",*,6,5,90,18.0,1,83.3,15.0,0,0,0,,1,0,0,0.0,0,0,0,0,0,0,51,87.9,0,0.0,5,14.3
2,3.0,34.0,3.0,3.0,2018-09-23,KAN,,SFO,"W, 38-27",*,5,2,51,25.5,0,40.0,10.2,2,5,0,2.5,1,5,0,5.0,0,0,0,1,0,0,68,90.7,0,0.0,4,14.3
3,4.0,35.0,4.0,4.0,2018-10-01,KAN,@,DEN,"W, 27-23",*,13,9,54,6.0,0,69.2,4.2,1,2,0,2.0,1,37,0,37.0,0,0,0,0,0,0,70,89.7,0,0.0,3,10.7
4,5.0,36.0,5.0,5.0,2018-10-07,KAN,,JAX,"W, 30-14",*,7,4,61,15.3,0,57.1,8.7,2,26,0,13.0,1,2,0,2.0,0,0,0,0,0,0,64,91.4,0,0.0,3,12.5
5,6.0,37.0,6.0,6.0,2018-10-14,KAN,@,NWE,"L, 40-43",*,12,7,142,20.3,3,58.3,11.8,1,0,0,0.0,0,0,0,,0,0,0,0,0,0,53,98.1,0,0.0,0,0.0
6,7.0,38.0,7.0,7.0,2018-10-21,KAN,,CIN,"W, 45-10",*,10,7,68,9.7,1,70.0,6.8,2,8,0,4.0,3,21,0,7.0,0,0,0,0,0,0,52,74.3,0,0.0,5,18.5
7,8.0,39.0,8.0,8.0,2018-10-28,KAN,,DEN,"W, 30-23",*,4,3,70,23.3,0,75.0,17.5,0,0,0,,3,15,0,5.0,0,0,0,0,0,0,48,82.8,0,0.0,4,13.8
8,9.0,40.0,9.0,9.0,2018-11-04,KAN,@,CLE,"W, 37-21",*,5,4,69,17.3,0,80.0,13.8,2,16,0,8.0,0,0,0,,0,0,0,0,0,0,61,96.8,0,0.0,2,8.7
9,10.0,41.0,10.0,10.0,2018-11-11,KAN,,ARI,"W, 26-14",*,10,7,117,16.7,2,70.0,11.7,1,20,0,20.0,2,0,0,0.0,0,0,0,0,0,0,54,91.5,0,0.0,5,20.0
10,11.0,42.0,11.0,11.0,2018-11-19,KAN,@,LAR,"L, 51-54",*,14,10,215,21.5,2,71.4,15.4,0,0,0,,3,22,0,7.3,0,0,0,0,0,0,69,95.8,0,0.0,4,9.3
11,12.0,43.0,12.0,13.0,2018-12-02,KAN,@,OAK,"W, 40-33",*,6,1,13,13.0,0,16.7,2.2,2,37,0,18.5,0,0,0,,0,0,0,0,0,0,63,88.7,0,0.0,2,6.3
12,13.0,44.0,13.0,14.0,2018-12-09,KAN,,BAL,"W, 27-24 (OT)",*,14,8,139,17.4,0,57.1,9.9,1,6,0,6.0,2,13,0,6.5,0,0,0,0,0,0,65,75.6,0,0.0,3,10.3
13,14.0,45.0,14.0,15.0,2018-12-13,KAN,,LAC,"L, 28-29",*,7,4,46,11.5,0,57.1,6.6,3,-5,0,-1.7,0,0,0,,0,0,0,1,0,0,53,88.3,0,0.0,2,8.7
14,15.0,46.0,15.0,16.0,2018-12-23,KAN,@,SEA,"L, 31-38",*,9,4,74,18.5,0,44.4,8.2,2,17,0,8.5,0,0,0,,0,0,0,0,0,0,58,95.1,0,0.0,4,12.1
15,16.0,47.0,16.0,17.0,2018-12-30,KAN,,OAK,"W, 35-3",*,7,5,101,20.2,1,71.4,14.4,1,15,1,15.0,1,3,0,3.0,0,0,0,0,0,0,36,66.7,0,0.0,4,21.1
16,,,,,,,,,12-4,,137,87,1479,17.0,12,63.5,10.8,22,151,1,6.9,20,213,1,10.7,0,0,0,2,0,0,905,86.6,0,0.0,52,11.2
