,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2022-09-11,NYG,@,TEN,"W, 21-20",,1,1,5,5.0,0,100.0,5.0,0,0,0,,9,15.0,0,0.0,0,0.0
1,1.0,,2.0,2.0,2022-09-18,NYG,,CAR,"W, 19-16",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
2,1.0,,3.0,3.0,2022-09-26,NYG,,DAL,"L, 16-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
3,1.0,,4.0,4.0,2022-10-02,NYG,,CHI,"W, 20-12",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,1.0,,5.0,5.0,2022-10-09,NYG,@,GNB,"W, 27-22",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
5,2.0,2.0,6.0,6.0,2022-10-16,NYG,,BAL,"W, 24-20",,4,3,37,12.3,1,75.0,9.3,0,0,0,,15,23.1,0,0.0,0,0.0
6,3.0,3.0,7.0,7.0,2022-10-23,NYG,@,JAX,"W, 23-17",,8,6,50,8.3,0,75.0,6.3,0,0,0,,53,68.8,0,0.0,0,0.0
7,4.0,4.0,8.0,8.0,2022-10-30,NYG,@,SEA,"L, 13-27",*,3,2,15,7.5,0,66.7,5.0,0,0,0,,45,69.2,0,0.0,0,0.0
8,5.0,5.0,9.0,10.0,2022-11-13,NYG,,HOU,"W, 24-16",*,2,2,20,10.0,0,100.0,10.0,1,-5,0,-5.0,52,75.4,0,0.0,0,0.0
9,6.0,6.0,10.0,11.0,2022-11-20,NYG,,DET,"L, 18-31",*,13,9,100,11.1,0,69.2,7.7,1,4,0,4.0,55,72.4,0,0.0,0,0.0
10,6.0,,11.0,12.0,2022-11-24,NYG,@,DAL,"L, 20-28",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
11,6.0,,12.0,13.0,2022-12-04,NYG,,WAS,"T, 20-20 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,6.0,,13.0,14.0,2022-12-11,NYG,,PHI,"L, 22-48",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,6.0,,14.0,15.0,2022-12-18,NYG,@,WAS,"W, 20-12",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,6.0,,15.0,16.0,2022-12-24,NYG,@,MIN,"L, 24-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,6.0,,16.0,17.0,2023-01-01,NYG,,IND,"W, 38-10",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,6.0,,17.0,18.0,2023-01-08,NYG,@,PHI,"L, 16-22",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,4-2,,31,23,227,9.9,1,74.2,7.3,2,-1,0,-0.5,229,55.6,0,0.0,0,0.0
