,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Att,Yds,TD,Y/A,Tgt,Rec,Yds.1,Y/R,TD.1,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,29.0,1.0,1.0,2019-09-08,NYG,@,DAL,"L, 17-35",,2,17,1,8.5,3,3,24,8.0,0,100.0,8.0,0,0,0,0,0,0,14,20.6,0,0.0,8,30.8
1,2.0,30.0,2.0,2.0,2019-09-15,NYG,,BUF,"L, 14-28",,0,0,0,,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,8,11.8,0,0.0,6,21.4
2,3.0,31.0,3.0,3.0,2019-09-22,NYG,@,TAM,"W, 32-31",,5,13,0,2.6,0,0,0,,0,,,0,0,0,0,0,0,39,62.9,0,0.0,3,8.8
3,4.0,32.0,4.0,4.0,2019-09-29,NYG,,WAS,"W, 24-3",*,18,63,1,3.5,7,6,55,9.2,1,85.7,7.9,1,1,0,0,0,0,46,59.7,0,0.0,0,0.0
4,5.0,33.0,5.0,5.0,2019-10-06,NYG,,MIN,"L, 10-28",*,2,14,0,7.0,0,0,0,,0,,,0,0,0,0,0,0,6,8.8,0,0.0,0,0.0
5,5.0,,6.0,6.0,2019-10-10,NYG,@,NWE,"L, 14-35",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,6.0,34.0,7.0,7.0,2019-10-20,NYG,,ARI,"L, 21-27",,0,0,0,,0,0,0,,0,,,0,0,0,0,0,0,10,14.3,0,0.0,0,0.0
7,7.0,35.0,8.0,8.0,2019-10-27,NYG,@,DET,"L, 26-31",,0,0,0,,1,1,20,20.0,0,100.0,20.0,0,0,0,0,0,0,13,17.6,0,0.0,0,0.0
8,8.0,36.0,9.0,9.0,2019-11-04,NYG,,DAL,"L, 18-37",,0,0,0,,1,0,0,,0,0.0,0.0,0,0,0,0,0,0,13,18.3,0,0.0,0,0.0
9,9.0,37.0,10.0,10.0,2019-11-10,NYG,@,NYJ,"L, 27-34",,1,2,0,2.0,2,1,3,3.0,0,50.0,1.5,0,0,0,0,0,0,12,17.4,0,0.0,0,0.0
10,10.0,38.0,11.0,12.0,2019-11-24,NYG,@,CHI,"L, 14-19",,1,1,0,1.0,0,0,0,,0,,,0,0,0,0,0,0,2,3.3,0,0.0,0,0.0
11,10.0,,12.0,13.0,2019-12-01,NYG,,GNB,"L, 13-31",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,10.0,,13.0,14.0,2019-12-09,NYG,@,PHI,"L, 17-23 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,10.0,,14.0,15.0,2019-12-15,NYG,,MIA,"W, 36-20",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,10.0,,15.0,16.0,2019-12-22,NYG,@,WAS,"W, 41-35 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,10.0,,16.0,17.0,2019-12-29,NYG,,PHI,"L, 17-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
16,,,,,,,,,2-8,,29,110,2,3.8,15,11,102,9.3,1,73.3,6.8,1,1,0,0,0,0,163,23.7,0,0.0,17,6.2
