,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Int,Yds,IntTD,PD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2023-09-10,HOU,@,BAL,"L, 9-25",*,1.0,6,4,2,1,2,0,0,0,0,0,0,0.0,48,75.0,4,16.0
1,2.0,2.0,2.0,2.0,2023-09-17,HOU,,IND,"L, 20-31",*,0.0,3,2,1,0,1,0,0,0,0,0,0,0.0,41,71.9,7,24.1
2,3.0,3.0,3.0,3.0,2023-09-24,HOU,@,JAX,"W, 37-17",*,0.0,4,3,1,0,2,0,0,0,0,0,0,0.0,44,60.3,5,17.2
3,4.0,4.0,4.0,4.0,2023-10-01,HOU,,PIT,"W, 30-6",*,0.0,2,1,1,0,0,0,0,0,0,0,0,0.0,36,61.0,4,16.0
4,5.0,5.0,5.0,5.0,2023-10-08,HOU,@,ATL,"L, 19-21",*,0.0,6,4,2,1,1,0,0,0,0,0,0,0.0,52,67.5,3,10.3
5,6.0,6.0,6.0,6.0,2023-10-15,HOU,,NOR,"W, 20-13",*,0.0,3,2,1,0,2,0,0,0,0,0,0,0.0,57,69.5,4,15.4
6,7.0,7.0,7.0,8.0,2023-10-29,HOU,@,CAR,"L, 13-15",*,0.0,3,2,1,1,0,0,0,0,0,0,0,0.0,49,73.1,6,25.0
7,8.0,8.0,8.0,9.0,2023-11-05,HOU,,TAM,"W, 39-37",*,1.0,3,2,1,0,1,0,0,0,0,0,0,0.0,40,60.6,6,18.2
8,9.0,9.0,9.0,10.0,2023-11-12,HOU,@,CIN,"W, 30-27",*,0.0,1,0,1,0,2,0,0,0,0,0,0,0.0,45,70.3,5,15.6
9,10.0,10.0,10.0,11.0,2023-11-19,HOU,,ARI,"W, 21-16",*,1.0,2,2,0,2,2,0,0,0,0,0,0,0.0,40,65.6,0,0.0
10,11.0,11.0,11.0,12.0,2023-11-26,HOU,,JAX,"L, 21-24",*,0.0,4,2,2,1,0,0,0,0,0,0,0,0.0,52,68.4,5,19.2
11,12.0,12.0,12.0,13.0,2023-12-03,HOU,,DEN,"W, 22-17",*,2.0,5,3,2,2,4,0,0,0,0,1,0,0.0,42,70.0,3,9.4
12,13.0,13.0,13.0,14.0,2023-12-10,HOU,@,NYJ,"L, 6-30",*,0.0,0,0,0,0,2,0,0,0,0,0,0,0.0,41,60.3,3,10.3
13,13.0,,14.0,15.0,2023-12-17,HOU,@,TEN,"W, 19-16 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
14,13.0,,15.0,16.0,2023-12-24,HOU,,CLE,"L, 22-36",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,14.0,14.0,16.0,17.0,2023-12-31,HOU,,TEN,"W, 26-3",,2.0,2,2,0,2,3,0,0,0,0,0,0,0.0,12,21.8,0,0.0
16,15.0,15.0,17.0,18.0,2024-01-06,HOU,@,IND,"W, 23-19",,0.0,1,0,1,0,0,0,0,0,0,0,0,0.0,31,47.0,0,0.0
17,,,,,,,,,9-6,,7.0,45,29,16,10,22,0,0,0,0,1,0,0.0,630,63.3,55,13.4
