,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Cmp,Att,Cmp%,Yds,TD,Int,Y/A,AY/A,Rate,Sk,Yds.1,Att.1,Yds.2,TD.1,Y/A.1,Fmb,FL,FF,FR,Yds.3,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,10.0,1.0,1.0,2024-09-08,TEN,@,CHI,"L, 17-24",*,19,32,59.4,127,1,2,4.0,1.78,52.5,3,23,4,36,0,9.0,1,1,0,0,0,0,64,100.0,0,0.0,0,0.0
1,2.0,11.0,2.0,2.0,2024-09-15,TEN,,NYJ,"L, 17-24",*,19,28,67.9,192,1,1,6.9,5.96,84.2,4,22,4,38,0,9.5,1,1,0,0,0,0,66,100.0,0,0.0,0,0.0
2,3.0,12.0,3.0,3.0,2024-09-22,TEN,,GNB,"L, 14-30",*,26,34,76.5,260,2,2,7.6,6.18,92.8,8,56,3,12,0,4.0,1,1,0,0,0,0,54,100.0,0,0.0,0,0.0
3,4.0,13.0,4.0,4.0,2024-09-30,TEN,@,MIA,"W, 31-12",*,3,4,75.0,25,0,1,6.3,-5.00,51.0,0,0,2,5,0,2.5,0,0,0,0,0,0,11,16.9,0,0.0,0,0.0
4,5.0,14.0,5.0,6.0,2024-10-13,TEN,,IND,"L, 17-20",*,16,27,59.3,95,1,1,3.5,2.59,63.0,0,0,3,15,0,5.0,0,0,0,1,0,0,58,100.0,0,0.0,0,0.0
5,5.0,,6.0,7.0,2024-10-20,TEN,@,BUF,"L, 10-34",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
6,5.0,,7.0,8.0,2024-10-27,TEN,@,DET,"L, 14-52",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
7,5.0,,8.0,9.0,2024-11-03,TEN,,NWE,"W, 20-17 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
8,6.0,15.0,9.0,10.0,2024-11-10,TEN,@,LAC,"L, 17-27",*,18,23,78.3,175,2,0,7.6,9.35,127.4,7,18,5,41,0,8.2,1,0,0,0,0,0,54,100.0,0,0.0,0,0.0
9,7.0,16.0,10.0,11.0,2024-11-17,TEN,,MIN,"L, 13-23",*,17,31,54.8,295,1,1,9.5,8.71,84.7,5,34,7,18,0,2.6,0,0,0,0,0,0,59,100.0,0,0.0,0,0.0
10,8.0,17.0,11.0,12.0,2024-11-24,TEN,@,HOU,"W, 32-27",*,18,24,75.0,278,2,1,11.6,11.38,123.3,8,41,8,10,0,1.3,1,1,0,1,-3,0,67,100.0,0,0.0,0,0.0
11,9.0,18.0,12.0,13.0,2024-12-01,TEN,@,WAS,"L, 19-42",*,18,37,48.6,212,2,0,5.7,6.81,84.5,2,2,2,-3,0,-1.5,1,0,0,1,-8,0,55,100.0,0,0.0,0,0.0
12,10.0,19.0,13.0,14.0,2024-12-08,TEN,,JAX,"L, 6-10",*,19,32,59.4,168,0,0,5.3,5.25,73.4,2,22,1,3,0,3.0,1,0,0,0,0,0,64,100.0,0,0.0,0,0.0
13,11.0,20.0,14.0,15.0,2024-12-15,TEN,,CIN,"L, 27-37",*,8,12,66.7,89,0,3,7.4,-3.83,49.0,1,7,2,0,0,0.0,1,1,0,0,0,0,33,47.1,0,0.0,0,0.0
14,11.0,,15.0,16.0,2024-12-22,TEN,@,IND,"L, 30-38",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,11.0,,16.0,17.0,2024-12-29,TEN,@,JAX,"L, 13-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,12.0,21.0,17.0,18.0,2025-01-05,TEN,,HOU,"L, 14-23",*,9,17,52.9,175,1,0,10.3,11.47,108.7,1,8,4,8,0,2.0,2,1,0,0,-9,0,36,58.1,0,0.0,0,0.0
17,,,,,,,,,2-10,,190,301,63.1,2091,13,12,6.9,6.02,81.4,41,233,45,183,0,4.1,10,6,0,3,-20,0,621,84.1,0,0.0,0,0.0
