,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2024-09-08,CAR,@,NOR,"L, 10-47",,7,4,35,8.8,0,57.1,5.0,0,0,0,,1,28,0,28.0,35,59.3,0,0.0,10,33.3
1,2.0,2.0,2.0,2.0,2024-09-15,CAR,,LAC,"L, 3-26",,0,0,0,,0,,,0,0,0,,0,0,0,,20,41.7,0,0.0,6,25.0
2,3.0,3.0,3.0,3.0,2024-09-22,CAR,@,LVR,"W, 36-22",,3,2,42,21.0,0,66.7,14.0,0,0,0,,1,30,0,30.0,44,59.5,0,0.0,3,10.0
3,4.0,4.0,4.0,4.0,2024-09-29,CAR,,CIN,"L, 24-34",*,10,6,66,11.0,1,60.0,6.6,2,10,0,5.0,0,0,0,,61,87.1,0,0.0,7,25.0
4,5.0,5.0,5.0,5.0,2024-10-06,CAR,@,CHI,"L, 10-36",*,1,1,8,8.0,0,100.0,8.0,0,0,0,,0,0,0,,22,36.7,0,0.0,4,15.4
5,6.0,6.0,6.0,6.0,2024-10-13,CAR,,ATL,"L, 20-38",*,4,3,23,7.7,1,75.0,5.8,0,0,0,,1,25,0,25.0,51,77.3,0,0.0,8,29.6
6,7.0,7.0,7.0,7.0,2024-10-20,CAR,@,WAS,"L, 7-40",*,3,2,3,1.5,0,66.7,1.0,1,6,0,6.0,1,19,0,19.0,36,83.7,0,0.0,9,34.6
7,8.0,8.0,8.0,8.0,2024-10-27,CAR,@,DEN,"L, 14-28",*,7,4,34,8.5,1,57.1,4.9,1,0,0,0.0,0,0,0,,38,62.3,0,0.0,5,20.8
8,9.0,9.0,9.0,9.0,2024-11-03,CAR,,NOR,"W, 23-22",*,6,4,33,8.3,1,66.7,5.5,1,6,0,6.0,0,0,0,,44,83.0,0,0.0,3,10.3
9,10.0,10.0,10.0,10.0,2024-11-10,CAR,,NYG,"W, 20-17 (OT)",*,4,3,40,13.3,0,75.0,10.0,0,0,0,,0,0,0,,59,98.3,0,0.0,4,13.3
10,11.0,11.0,11.0,12.0,2024-11-24,CAR,,KAN,"L, 27-30",*,6,4,56,14.0,0,66.7,9.3,0,0,0,,0,0,0,,58,93.5,0,0.0,6,22.2
11,12.0,12.0,12.0,13.0,2024-12-01,CAR,,TAM,"L, 23-26 (OT)",*,8,4,53,13.3,0,50.0,6.6,0,0,0,,0,0,0,,67,95.7,0,0.0,5,13.9
12,13.0,13.0,13.0,14.0,2024-12-08,CAR,@,PHI,"L, 16-22",*,8,2,39,19.5,0,25.0,4.9,0,0,0,,0,0,0,,62,87.3,0,0.0,4,18.2
13,14.0,14.0,14.0,15.0,2024-12-15,CAR,,DAL,"L, 14-30",*,3,2,7,3.5,0,66.7,2.3,1,2,0,2.0,0,0,0,,23,41.8,0,0.0,3,12.0
14,14.0,,15.0,16.0,2024-12-22,CAR,,ARI,"W, 36-30 (OT)",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
15,15.0,15.0,16.0,17.0,2024-12-29,CAR,@,TAM,"L, 14-48",*,9,5,28,5.6,0,55.6,3.1,0,0,0,,0,0,0,,32,68.1,0,0.0,0,0.0
16,16.0,16.0,17.0,18.0,2025-01-05,CAR,@,ATL,"W, 44-38 (OT)",*,5,3,30,10.0,0,60.0,6.0,0,0,0,,0,0,0,,28,41.8,0,0.0,0,0.0
17,,,,,,,,,4-12,,84,49,497,10.1,4,58.3,5.9,6,24,0,4.0,4,102,0,25.5,680,70.4,0,0.0,77,17.3
