,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Ret,Yds.1,KRTD,Y/Ret,Fmb,FL,FF,FR,Yds.2,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,33.0,1.0,1.0,2015-09-14,PHI,@,ATL,"L, 24-26",,8,3,46,15.3,0,37.5,5.8,0,0,0,,0,0,0,0,0,0,52,71.2,0,0.0,7,21.9
1,2.0,34.0,2.0,2.0,2015-09-20,PHI,,DAL,"L, 10-20",,7,3,17,5.7,0,42.9,2.4,0,0,0,,0,0,0,0,0,0,40,64.5,0,0.0,6,23.1
2,3.0,35.0,3.0,3.0,2015-09-27,PHI,@,NYJ,"W, 24-17",,2,2,30,15.0,0,100.0,15.0,0,0,0,,0,0,0,0,0,0,35,50.0,0,0.0,4,12.1
3,4.0,36.0,4.0,4.0,2015-10-04,PHI,@,WAS,"L, 20-23",*,3,2,11,5.5,0,66.7,3.7,0,0,0,,0,0,0,0,0,0,38,67.9,0,0.0,6,20.0
4,5.0,37.0,5.0,5.0,2015-10-11,PHI,,NOR,"W, 39-17",,7,5,60,12.0,0,71.4,8.6,0,0,0,,0,0,0,0,0,0,56,66.7,0,0.0,3,10.0
5,6.0,38.0,6.0,6.0,2015-10-19,PHI,,NYG,"W, 27-7",*,7,4,43,10.8,0,57.1,6.1,0,0,0,,0,0,0,0,0,0,68,86.1,0,0.0,2,7.4
6,7.0,39.0,7.0,7.0,2015-10-25,PHI,@,CAR,"L, 16-27",*,8,5,63,12.6,0,62.5,7.9,0,0,0,,0,0,0,0,0,0,75,90.4,0,0.0,6,20.0
7,8.0,40.0,8.0,9.0,2015-11-08,PHI,@,DAL,"W, 33-27 (OT)",*,6,5,44,8.8,0,83.3,7.3,0,0,0,,0,0,0,0,0,0,60,81.1,0,0.0,7,21.2
8,9.0,41.0,9.0,10.0,2015-11-15,PHI,,MIA,"L, 19-20",,10,7,68,9.7,0,70.0,6.8,0,0,0,,0,0,0,0,0,0,76,79.2,0,0.0,5,15.2
9,10.0,42.0,10.0,11.0,2015-11-22,PHI,,TAM,"L, 17-45",*,4,2,12,6.0,0,50.0,3.0,0,0,0,,0,0,0,0,0,0,14,19.7,0,0.0,3,9.4
10,10.0,,11.0,12.0,2015-11-26,PHI,@,DET,"L, 14-45",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,11.0,43.0,12.0,13.0,2015-12-06,PHI,@,NWE,"W, 35-28",*,4,2,9,4.5,1,50.0,2.3,0,0,0,,0,0,0,0,0,0,53,86.9,0,0.0,5,14.3
12,12.0,44.0,13.0,14.0,2015-12-13,PHI,,BUF,"W, 23-20",,7,5,98,19.6,0,71.4,14.0,0,0,0,,0,0,0,0,0,0,60,77.9,0,0.0,5,14.7
13,13.0,45.0,14.0,15.0,2015-12-20,PHI,,ARI,"L, 17-40",,13,8,78,9.8,1,61.5,6.0,0,0,0,,0,0,0,0,0,0,49,76.6,0,0.0,8,27.6
14,14.0,46.0,15.0,16.0,2015-12-26,PHI,,WAS,"L, 24-38",*,17,13,122,9.4,0,76.5,7.2,0,0,0,,1,1,0,0,0,0,64,79.0,0,0.0,8,22.9
15,15.0,47.0,16.0,17.0,2016-01-03,PHI,@,NYG,"W, 35-30",,9,9,152,16.9,0,100.0,16.9,1,9,0,9.0,0,0,0,0,0,0,49,74.2,0,0.0,8,26.7
16,,,,,,,,,7-8,,112,75,853,11.4,2,67.0,7.6,1,9,0,9.0,1,1,0,0,0,0,789,71.9,0,0.0,83,17.7
