,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Fmb,FL,FF,FR,Yds.1,FRTD,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,62.0,1.0,1.0,2017-09-10,PHI,@,WAS,"W, 30-17",*,8,8,93,11.6,0,100.0,11.6,0,0,0,0,0,0,60,87.0,0,0.0,8,30.8
1,2.0,63.0,2.0,2.0,2017-09-17,PHI,@,KAN,"L, 20-27",*,10,5,97,19.4,0,50.0,9.7,0,0,0,0,0,0,60,83.3,0,0.0,11,36.7
2,3.0,64.0,3.0,3.0,2017-09-24,PHI,,NYG,"W, 27-24",*,10,8,55,6.9,1,80.0,5.5,1,1,0,0,0,0,75,98.7,0,0.0,11,39.3
3,4.0,65.0,4.0,4.0,2017-10-01,PHI,@,LAC,"W, 26-24",*,8,5,81,16.2,0,62.5,10.1,0,0,0,0,0,0,60,75.9,0,0.0,10,37.0
4,5.0,66.0,5.0,5.0,2017-10-08,PHI,,ARI,"W, 34-7",*,12,6,61,10.2,1,50.0,5.1,0,0,0,0,0,0,57,85.1,0,0.0,8,28.6
5,6.0,67.0,6.0,6.0,2017-10-12,PHI,@,CAR,"W, 28-23",*,5,2,18,9.0,2,40.0,3.6,0,0,0,0,0,0,49,79.0,0,0.0,10,31.3
6,7.0,68.0,7.0,7.0,2017-10-23,PHI,,WAS,"W, 34-24",,5,5,89,17.8,1,100.0,17.8,0,0,0,0,0,0,53,81.5,0,0.0,9,28.1
7,8.0,69.0,8.0,8.0,2017-10-29,PHI,,SFO,"W, 33-10",*,6,4,34,8.5,1,66.7,5.7,0,0,0,0,0,0,64,91.4,0,0.0,8,25.0
8,8.0,,9.0,9.0,2017-11-05,PHI,,DEN,"W, 51-23",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
9,9.0,70.0,10.0,11.0,2017-11-19,PHI,@,DAL,"W, 37-9",*,5,2,8,4.0,0,40.0,1.6,0,0,0,0,0,0,60,93.8,0,0.0,2,7.7
10,10.0,71.0,11.0,12.0,2017-11-26,PHI,,CHI,"W, 31-3",*,12,10,103,10.3,1,83.3,8.6,0,0,0,0,0,0,65,83.3,0,0.0,5,21.7
11,11.0,72.0,12.0,13.0,2017-12-03,PHI,@,SEA,"L, 10-24",*,4,2,24,12.0,0,50.0,6.0,0,0,0,0,0,0,45,60.0,0,0.0,1,4.5
12,11.0,,13.0,14.0,2017-12-10,PHI,@,LAR,"W, 43-35",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
13,12.0,73.0,14.0,15.0,2017-12-17,PHI,@,NYG,"W, 34-29",*,9,6,56,9.3,1,66.7,6.2,0,0,0,0,0,0,59,88.1,0,0.0,0,0.0
14,13.0,74.0,15.0,16.0,2017-12-25,PHI,,OAK,"W, 19-10",*,14,9,81,9.0,0,64.3,5.8,0,0,0,0,0,0,55,82.1,0,0.0,0,0.0
15,14.0,75.0,16.0,17.0,2017-12-31,PHI,,DAL,"L, 0-6",*,2,2,24,12.0,0,100.0,12.0,0,0,0,0,0,0,14,23.7,0,0.0,0,0.0
16,,,,,,,,,11-3,,110,74,824,11.1,8,67.3,7.5,1,1,0,0,0,0,776,80.0,0,0.0,83,21.6
