,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,135.0,1.0,1.0,2022-09-11,ARI,,KAN,"L, 21-44",*,4,2,14,7.0,1,50.0,3.5,39,60.0,0,0.0,0,0.0
1,2.0,136.0,2.0,2.0,2022-09-18,ARI,@,LVR,"W, 29-23 (OT)",*,11,8,75,9.4,0,72.7,6.8,73,83.9,0,0.0,0,0.0
2,3.0,137.0,3.0,3.0,2022-09-25,ARI,,LAR,"L, 12-20",*,10,6,45,7.5,0,60.0,4.5,77,92.8,0,0.0,0,0.0
3,4.0,138.0,4.0,4.0,2022-10-02,ARI,@,CAR,"W, 26-16",*,6,6,47,7.8,1,100.0,7.8,62,81.6,0,0.0,1,4.3
4,5.0,139.0,5.0,5.0,2022-10-09,ARI,,PHI,"L, 17-20",*,10,6,48,8.0,0,60.0,4.8,64,92.8,0,0.0,0,0.0
5,6.0,140.0,6.0,6.0,2022-10-16,ARI,@,SEA,"L, 9-19",*,10,7,70,10.0,0,70.0,7.0,68,95.8,0,0.0,0,0.0
6,7.0,141.0,7.0,7.0,2022-10-20,ARI,,NOR,"W, 42-34",*,4,2,21,10.5,0,50.0,5.3,53,80.3,0,0.0,2,6.3
7,8.0,142.0,8.0,8.0,2022-10-30,ARI,@,MIN,"L, 26-34",*,5,4,34,8.5,1,80.0,6.8,69,88.5,0,0.0,0,0.0
8,9.0,143.0,9.0,9.0,2022-11-06,ARI,,SEA,"L, 21-31",*,8,5,40,8.0,1,62.5,5.0,61,96.8,0,0.0,0,0.0
9,10.0,144.0,10.0,10.0,2022-11-13,ARI,@,LAR,"W, 27-17",*,1,1,12,12.0,0,100.0,12.0,9,13.2,0,0.0,0,0.0
10,10.0,,11.0,11.0,2022-11-21,ARI,,SFO,"L, 10-38",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
11,10.0,,12.0,12.0,2022-11-27,ARI,,LAC,"L, 24-25",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
12,10.0,,13.0,14.0,2022-12-12,ARI,,NWE,"L, 13-27",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
13,10.0,,14.0,15.0,2022-12-18,ARI,@,DEN,"L, 15-24",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
14,10.0,,15.0,16.0,2022-12-25,ARI,,TAM,"L, 16-19 (OT)",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
15,10.0,,16.0,17.0,2023-01-01,ARI,@,ATL,"L, 19-20",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
16,10.0,,17.0,18.0,2023-01-08,ARI,@,SFO,"L, 13-38",Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play,Did Not Play
17,,,,,,,,,4-6,,69,47,406,8.6,4,68.1,5.9,575,79.2,0,0.0,3,1.1
