,Season,Age,Team,Lg,Pos,G,GS,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Att,Yds.1,TD.1,1D.1,Succ%.1,Lng.1,Y/A,Y/G.1,A/G,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
0,2018,24,IND,NFL,WR,2.0,1.0,6.0,2.0,13.0,6.5,0.0,0.0,16.7,7.0,1.0,6.5,33.3,2.2,1.0,14.0,0.0,1.0,100.0,14.0,14.0,7.0,0.5,3.0,9.0,27.0,0.0,0.0,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,2020,26,IND,NFL,WR,1.0,0.0,5.0,3.0,37.0,12.3,1.0,3.0,60.0,17.0,3.0,37.0,60.0,7.4,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,12.3,37.0,1.0,0.0,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,2022,28,PHI,NFL,WR,3.0,1.0,4.0,3.0,15.0,5.0,0.0,1.0,50.0,9.0,1.0,5.0,75.0,3.8,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,5.0,15.0,0.0,0.0,
5,3 Yrs,3 Yrs,3 Yrs,3 Yrs,,6.0,2.0,15.0,8.0,65.0,8.1,1.0,4.0,40.0,17.0,1.3,10.8,53.3,4.3,1.0,14.0,0.0,1.0,100.0,14.0,14.0,2.3,0.2,9.0,8.8,79.0,1.0,0.0,
6,17 Game Avg,17 Game Avg,17 Game Avg,17 Game Avg,,17.0,6.0,43.0,23.0,184.0,8.1,3.0,11.0,40.0,17.0,1.3,10.8,53.3,4.3,3.0,40.0,0.0,3.0,100.0,14.0,14.0,2.3,0.2,26.0,8.8,224.0,3.0,0.0,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),IND (2 Yrs),,3.0,1.0,11.0,5.0,50.0,10.0,1.0,3.0,36.4,17.0,1.7,16.7,45.5,4.5,1.0,14.0,0.0,1.0,100.0,14.0,14.0,4.7,0.3,6.0,10.7,64.0,1.0,0.0,
9,PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),PHI (1 Yr),,3.0,1.0,4.0,3.0,15.0,5.0,0.0,1.0,50.0,9.0,1.0,5.0,75.0,3.8,0.0,0.0,0.0,0.0,,,,0.0,0.0,3.0,5.0,15.0,0.0,0.0,
