,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,Ret,Yds.2,KRTD,Y/Ret,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,1.0,1.0,1.0,2018-09-09,IND,,CIN,"L, 23-34",,1,1,18,18.0,0,100.0,18.0,0,0,0,,2,54,0,27.0,0.0,0,0,0,0,0,0,10,12.2,0,0.0,15,51.7
1,2.0,2.0,2.0,2.0,2018-09-16,IND,@,WAS,"W, 21-9",,0,0,0,,0,,,0,0,0,,1,19,0,19.0,0.0,0,0,0,0,0,0,18,29.5,0,0.0,14,56.0
2,3.0,3.0,3.0,3.0,2018-09-23,IND,@,PHI,"L, 16-20",,2,1,3,3.0,0,50.0,1.5,0,0,0,,2,35,0,17.5,0.0,0,0,0,0,0,0,6,10.2,0,0.0,13,46.4
3,4.0,4.0,4.0,4.0,2018-09-30,IND,,HOU,"L, 34-37 (OT)",,10,6,56,9.3,1,60.0,5.6,0,0,0,,2,32,0,16.0,0.0,0,0,0,0,0,0,45,49.5,0,0.0,13,35.1
4,5.0,5.0,5.0,5.0,2018-10-04,IND,@,NWE,"L, 24-38",*,7,1,12,12.0,0,14.3,1.7,0,0,0,,1,15,0,15.0,0.0,0,0,0,0,0,0,64,77.1,0,0.0,9,29.0
5,6.0,6.0,6.0,6.0,2018-10-14,IND,@,NYJ,"L, 34-42",*,7,5,35,7.0,0,71.4,5.0,1,8,0,8.0,1,27,0,27.0,0.0,0,0,0,0,0,0,61,88.4,0,0.0,14,38.9
6,7.0,7.0,7.0,7.0,2018-10-21,IND,,BUF,"W, 37-5",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,2,2,0,0,0,0,41,62.1,0,0.0,9,37.5
7,8.0,8.0,8.0,8.0,2018-10-28,IND,@,OAK,"W, 42-28",,1,1,-4,-4.0,0,100.0,-4.0,0,0,0,,1,17,0,17.0,0.0,0,0,0,0,0,0,28,35.9,0,0.0,15,57.7
8,9.0,9.0,9.0,10.0,2018-11-11,IND,,JAX,"W, 29-26",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,15,27.3,0,0.0,13,44.8
9,10.0,10.0,10.0,11.0,2018-11-18,IND,,TEN,"W, 38-10",,1,1,11,11.0,0,100.0,11.0,0,0,0,,1,19,0,19.0,0.0,0,0,0,0,0,0,24,38.7,0,0.0,13,50.0
10,11.0,11.0,11.0,12.0,2018-11-25,IND,,MIA,"W, 27-24",,0,0,0,,0,,,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,11,15.9,0,0.0,14,48.3
11,12.0,12.0,12.0,13.0,2018-12-02,IND,@,JAX,"L, 0-6",,1,1,16,16.0,0,100.0,16.0,1,2,0,2.0,0,0,0,,0.0,0,0,0,0,0,0,42,55.3,0,0.0,9,45.0
12,13.0,13.0,13.0,14.0,2018-12-09,IND,@,HOU,"W, 24-21",,6,5,68,13.6,1,83.3,11.3,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,35,52.2,0,0.0,10,34.5
13,14.0,14.0,14.0,15.0,2018-12-16,IND,,DAL,"W, 23-0",,3,1,12,12.0,0,33.3,4.0,0,0,0,,0,0,0,,0.0,0,0,0,0,0,0,49,68.1,0,0.0,6,40.0
14,15.0,15.0,15.0,16.0,2018-12-23,IND,,NYG,"W, 28-27",*,7,4,41,10.3,0,57.1,5.9,0,0,0,,1,24,0,24.0,0.0,0,0,0,0,0,0,35,52.2,0,0.0,13,48.1
15,16.0,16.0,16.0,17.0,2018-12-30,IND,@,TEN,"W, 33-17",*,0,0,0,,0,,,0,0,0,,2,55,0,27.5,0.0,0,0,0,0,0,0,43,54.4,0,0.0,11,36.7
16,,,,,,,,,10-6,,46,27,268,9.9,2,58.7,5.8,2,10,0,5.0,14,297,0,21.2,0.0,2,2,0,0,0,0,527,46.4,0,0.0,191,43.3
