,Rk,Gcar,Gtm,Week,Date,Team,Unnamed: 6,Opp,Result,GS,Tgt,Rec,Yds,Y/R,TD,Ctch%,Y/Tgt,Att,Yds.1,TD.1,Y/A,OffSnp,Off%,DefSnp,Def%,STSnp,ST%
0,1.0,80.0,1.0,1.0,2022-09-11,JAX,@,WAS,"L, 22-28",*,9,6,65,10.8,0,66.7,7.2,0,0,0,,58,82.9,0,0.0,0,0.0
1,2.0,81.0,2.0,2.0,2022-09-18,JAX,,IND,"W, 24-0",,4,3,23,7.7,0,75.0,5.8,0,0,0,,48,67.6,0,0.0,0,0.0
2,3.0,82.0,3.0,3.0,2022-09-25,JAX,@,LAC,"W, 38-10",*,11,10,85,8.5,1,90.9,7.7,1,0,0,0.0,58,76.3,0,0.0,0,0.0
3,3.0,,4.0,4.0,2022-10-02,JAX,@,PHI,"L, 21-29",Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive,Inactive
4,4.0,83.0,5.0,5.0,2022-10-09,JAX,,HOU,"L, 6-13",*,8,3,12,4.0,0,37.5,1.5,0,0,0,,60,80.0,0,0.0,0,0.0
5,5.0,84.0,6.0,6.0,2022-10-16,JAX,@,IND,"L, 27-34",*,5,5,42,8.4,0,100.0,8.4,0,0,0,,62,98.4,0,0.0,0,0.0
6,6.0,85.0,7.0,7.0,2022-10-23,JAX,,NYG,"L, 17-23",*,10,4,54,13.5,0,40.0,5.4,1,14,0,14.0,70,98.6,0,0.0,0,0.0
7,7.0,86.0,8.0,8.0,2022-10-30,JAX,,DEN,"L, 17-21",*,3,3,28,9.3,0,100.0,9.3,1,7,0,7.0,71,98.6,0,0.0,0,0.0
8,8.0,87.0,9.0,9.0,2022-11-06,JAX,,LVR,"W, 27-20",*,5,5,40,8.0,0,100.0,8.0,0,0,0,,65,94.2,0,0.0,0,0.0
9,9.0,88.0,10.0,10.0,2022-11-13,JAX,@,KAN,"L, 17-27",*,10,8,68,8.5,0,80.0,6.8,0,0,0,,60,93.8,0,0.0,0,0.0
10,10.0,89.0,11.0,12.0,2022-11-27,JAX,,BAL,"W, 28-27",*,14,11,145,13.2,0,78.6,10.4,0,0,0,,57,90.5,0,0.0,0,0.0
11,11.0,90.0,12.0,13.0,2022-12-04,JAX,@,DET,"L, 14-40",*,7,2,16,8.0,0,28.6,2.3,0,0,0,,46,82.1,0,0.0,0,0.0
12,12.0,91.0,13.0,14.0,2022-12-11,JAX,@,TEN,"W, 36-22",*,12,8,77,9.6,1,66.7,6.4,0,0,0,,56,77.8,0,0.0,1,3.8
13,13.0,92.0,14.0,15.0,2022-12-18,JAX,,DAL,"W, 40-34 (OT)",*,8,6,109,18.2,3,75.0,13.6,0,0,0,,67,95.7,0,0.0,0,0.0
14,14.0,93.0,15.0,16.0,2022-12-22,JAX,@,NYJ,"W, 19-3",*,4,1,14,14.0,0,25.0,3.5,1,-3,0,-3.0,57,79.2,0,0.0,0,0.0
15,15.0,94.0,16.0,17.0,2023-01-01,JAX,@,HOU,"W, 31-3",*,5,3,24,8.0,0,60.0,4.8,0,0,0,,49,77.8,0,0.0,0,0.0
16,16.0,95.0,17.0,18.0,2023-01-07,JAX,,TEN,"W, 20-16",*,6,4,21,5.3,0,66.7,3.5,0,0,0,,46,93.9,0,0.0,0,0.0
17,,,,,,,,,9-7,,121,82,823,10.0,5,67.8,6.8,4,18,0,4.5,930,86.4,0,0.0,1,0.3
